"degree","proteins","symbol"
2571,"P05067","APP"
2459,"Q92731","ESR2"
2346,"P03372","ESR1"
2062,"Q14258","TRIM25"
1938,"P04629","NTRK1"
1703,"Q15717","ELAVL1"
1619,"P61956","SUMO2"
1534,"P05412","JUN"
1523,"P14866","HNRNPL"
1461,"Q5S007","LRRK2"
1324,"P00533","EGFR"
1299,"Q15029","EFTUD2"
1291,"P78317","RNF4"
1249,"P13569","CFTR"
1242,"Q9H6Z9","EGLN3"
1226,"O14980","XPO1"
1224,"Q13618","CUL3"
1199,"P35226","BMI1"
1166,"P63165","SUMO1"
1165,"Q9UBU9","NXF1"
1132,"P04637","TP53"
1079,"P38398","BRCA1"
1054,"P42858","HTT"
1052,"P01106","MYC"
1049,"P62993","GRB2"
1020,"Q9HCE1","MOV10"
950,"P11142","HSPA8"
941,"P07900","HSP90AA1"
915,"P63104","YWHAZ"
910,"P02545","LMNA"
906,"P49736","MCM2"
896,"Q00987","MDM2"
888,"Q8NFZ5","TNIP2"
886,"Q4G0J3","LARP7"
872,"P61981","YWHAG"
855,"O94992","HEXIM1"
828,"P02751","FN1"
825,"Q92905","COPS5"
807,"Q9NRI5","DISC1"
805,"Q15004","PCLAF"
799,"P08238","HSP90AB1"
788,"P68431","H3C1"
773,"Q15843","NEDD8"
768,"P24941","CDK2"
763,"P35222","CTNNB1"
755,"P06748","NPM1"
750,"Q13573","SNW1"
750,"Q99496","RNF2"
747,"Q99459","CDC5L"
740,"Q7L2J0","MEPCE"
734,"P10809","HSPD1"
733,"Q13616","CUL1"
730,"Q8IWL3","HSCB"
724,"Q5XPI4","RNF123"
707,"P04792","HSPB1"
707,"Q86VP6","CAND1"
704,"P12830","CDH1"
696,"P01116","KRAS"
689,"P27348","YWHAQ"
687,"P55072","VCP"
683,"Q13547","HDAC1"
678,"Q9NWS0","PIH1D1"
677,"P27824","CANX"
674,"Q00839","HNRNPU"
672,"Q01844","EWSR1"
669,"Q9NRC8","SIRT7"
666,"P12931","SRC"
666,"P19320","VCAM1"
656,"Q93009","USP7"
655,"Q6IQ23","PLEKHA7"
653,"Q12873","CHD3"
643,"Q14839","CHD4"
641,"Q8N488","RYBP"
640,"P68400","CSNK2A1"
639,"P10636","MAPT"
636,"Q14999","CUL7"
636,"O15205","UBD"
625,"Q13363","CTBP1"
619,"P12004","PCNA"
619,"O75147","OBSL1"
616,"Q9Y4K3","TRAF6"
612,"Q9H492","MAP1LC3A"
611,"Q9NQC7","CYLD"
606,"P01112","HRAS"
606,"P09651","HNRNPA1"
605,"Q9NRD1","FBXO6"
602,"P78362","SRPK2"
595,"P31946","YWHAB"
594,"P68104","EEF1A1"
593,"Q08379","GOLGA2"
591,"Q6P2Q9","PRPF8"
582,"P62258","YWHAE"
581,"Q09472","EP300"
580,"P60520","GABARAPL2"
577,"P46937","YAP1"
577,"Q04917","YWHAH"
572,"Q8TBB1","LNX1"
565,"P61081","UBE2M"
564,"Q12933","TRAF2"
564,"P06241","FYN"
560,"P54253","ATXN1"
559,"P60709","ACTB"
557,"P51957","NEK4"
552,"Q9H0R8","GABARAPL1"
548,"Q13148","TARDBP"
546,"Q9H0W5","CCDC8"
543,"P46108","CRK"
540,"P40337","VHL"
536,"P62136","PPP1CA"
534,"P38646","HSPA9"
532,"P01111","NRAS"
530,"Q8NCK7","SLC16A11"
529,"P46934","NEDD4"
528,"P49841","GSK3B"
526,"P48431","SOX2"
524,"Q71U36","TUBA1A"
524,"Q7Z6Z7","HUWE1"
523,"P19838","NFKB1"
522,"Q14684","RRP1B"
521,"O95817","BAG3"
518,"P27694","RPA1"
517,"P13612","ITGA4"
512,"O95166","GABARAP"
509,"P46013","MKI67"
505,"P10275","AR"
505,"P08670","VIM"
505,"P31749","AKT1"
504,"P19338","NCL"
498,"Q13283","G3BP1"
498,"P35637","FUS"
497,"P63279","UBE2I"
497,"O75530","EED"
497,"Q16543","CDC37"
495,"Q9Y6K9","IKBKG"
495,"Q9Y3I1","FBXO7"
495,"Q13620","CUL4B"
494,"P15927","RPA2"
494,"P62753","RPS6"
491,"P34897","SHMT2"
491,"Q9C0B5","ZDHHC5"
490,"A8MQ03","CYSRT1"
486,"Q13418","ILK"
482,"O43493","TGOLN2"
477,"Q9GZQ8","MAP1LC3B"
471,"P19784","CSNK2A2"
468,"Q12888","TP53BP1"
464,"Q16659","MAPK6"
463,"Q15365","PCBP1"
462,"P22087","FBL"
461,"Q04206","RELA"
460,"P67809","YBX1"
457,"P0DMV9","HSPA1A"
457,"Q13617","CUL2"
451,"P55854","SUMO3"
450,"P35579","MYH9"
449,"P27986","PIK3R1"
448,"O76024","WFS1"
447,"P04626","ERBB2"
447,"Q8IVT5","KSR1"
445,"P04156","PRNP"
444,"P07437","TUBB"
442,"Q9BRS2","RIOK1"
441,"P60033","CD81"
440,"Q7Z699","SPRED1"
440,"Q96FW1","OTUB1"
440,"P46379","BAG6"
439,"P21333","FLNA"
439,"P14373","TRIM27"
437,"P62805","H4C9"
436,"Q16666","IFI16"
432,"Q92769","HDAC2"
431,"Q93034","CUL5"
430,"P78527","PRKDC"
429,"P48729","CSNK1A1"
429,"P26368","U2AF2"
425,"P00441","SOD1"
424,"P35244","RPA3"
423,"O60341","KDM1A"
422,"Q92793","CREBBP"
419,"Q00610","CLTC"
417,"Q9UMX0","UBQLN1"
416,"P61978","HNRNPK"
416,"P84022","SMAD3"
415,"Q9UKB1","FBXW11"
414,"P34932","HSPA4"
413,"Q9NRD5","PICK1"
