"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007080","mitotic metaphase plate congression","8/184","30/7550",3.95363882108684e-07,0.000547591922473584,0.000510488533992969,"CHMP4B/DCTN2/CHMP2A/NUP62/CHMP4A/VPS4B/RRS1/VPS4A",8
"GO:0019076","viral release from host cell","7/184","23/7550",8.02920707439272e-07,0.000547591922473584,0.000510488533992969,"CHMP4B/CHMP2A/PPIA/CHMP4A/VPS4B/IST1/VPS4A",7
"GO:0035890","exit from host","7/184","23/7550",8.02920707439272e-07,0.000547591922473584,0.000510488533992969,"CHMP4B/CHMP2A/PPIA/CHMP4A/VPS4B/IST1/VPS4A",7
"GO:0035891","exit from host cell","7/184","23/7550",8.02920707439272e-07,0.000547591922473584,0.000510488533992969,"CHMP4B/CHMP2A/PPIA/CHMP4A/VPS4B/IST1/VPS4A",7
"GO:1902410","mitotic cytokinetic process","6/184","16/7550",1.26254171342265e-06,0.000688842758843397,0.000642168585185078,"CHMP4B/CHMP2A/NUP62/CHMP4A/VPS4B/VPS4A",6
"GO:0051310","metaphase plate congression","8/184","36/7550",1.80339917738089e-06,0.000819945492649178,0.000764388142553023,"CHMP4B/DCTN2/CHMP2A/NUP62/CHMP4A/VPS4B/RRS1/VPS4A",8
"GO:0032506","cytokinetic process","7/184","27/7550",2.67769499445362e-06,0.00104353599212421,0.00097282873783458,"CHMP4B/BIN3/CHMP2A/NUP62/CHMP4A/VPS4B/VPS4A",7
"GO:0000910","cytokinesis","12/184","100/7550",4.96070185926973e-06,0.00169159933401098,0.00157698101210469,"CETN2/CHMP4B/CALM2/BIN3/CHMP2A/NUP62/CHMP4A/ARL3/VPS4B/SH3GLB1/IST1/VPS4A",12
"GO:0046761","viral budding from plasma membrane","5/184","12/7550",5.61355829256426e-06,0.00170153189134614,0.00158624056547781,"CHMP4B/CHMP2A/CHMP4A/VPS4B/VPS4A",5
"GO:0051303","establishment of chromosome localization","8/184","44/7550",8.93945770998936e-06,0.00221768590288911,0.00206742133870199,"CHMP4B/DCTN2/CHMP2A/NUP62/CHMP4A/VPS4B/RRS1/VPS4A",8
"GO:0046753","non-lytic viral release","5/184","13/7550",8.94228186648833e-06,0.00221768590288911,0.00206742133870199,"CHMP4B/CHMP2A/CHMP4A/VPS4B/VPS4A",5
"GO:0050000","chromosome localization","8/184","45/7550",1.06481258859721e-05,0.00242067395141098,0.0022566554509218,"CHMP4B/DCTN2/CHMP2A/NUP62/CHMP4A/VPS4B/RRS1/VPS4A",8
"GO:0006997","nucleus organization","11/184","92/7550",1.28882618112129e-05,0.00265712009477955,0.00247708062547747,"CHMP4B/HIPK2/SERBP1/CHMP2A/SF1/CHMP4A/VPS4B/HABP4/RPS19/H3-3B/VPS4A",11
"GO:0061952","midbody abscission","5/184","14/7550",1.36362468207162e-05,0.00265712009477955,0.00247708062547747,"CHMP4B/CHMP2A/CHMP4A/VPS4B/VPS4A",5
"GO:0006397","mRNA processing","23/184","356/7550",1.61419704555344e-05,0.00292164240608658,0.0027236796006734,"ALYREF/LSM4/SF3B4/QKI/CSTF2/PPIE/ESS2/SF3A2/SF1/KHSRP/PQBP1/HABP4/NUDT21/SNRPA/DCPS/DNAJC17/SUGP1/NOL3/PRDX6/SMNDC1/MBNL1/LGALS3/LSM7",23
"GO:0000375","RNA splicing, via transesterification reactions","18/184","238/7550",1.80578347601318e-05,0.00292164240608658,0.0027236796006734,"ALYREF/LSM4/SF3B4/QKI/PPIE/ESS2/SF3A2/SF1/KHSRP/PQBP1/SNRPA/DCPS/DNAJC17/NOL3/PRDX6/SMNDC1/MBNL1/LSM7",18
"GO:0008380","RNA splicing","21/184","309/7550",1.82067158737067e-05,0.00292164240608658,0.0027236796006734,"ALYREF/LSM4/SF3B4/QKI/PPIE/ESS2/SF3A2/SF1/KHSRP/PQBP1/HABP4/SNRPA/DCPS/DNAJC17/SUGP1/NOL3/PRDX6/SMNDC1/MBNL1/LGALS3/LSM7",21
"GO:0036258","multivesicular body assembly","6/184","25/7550",2.32514627428699e-05,0.00352388835347495,0.00328511894659495,"CHMP4B/CHMP2A/CHMP4A/VPS4B/IST1/VPS4A",6
"GO:0036257","multivesicular body organization","6/184","26/7550",2.96194396731451e-05,0.00425272796991263,0.00396457430749688,"CHMP4B/CHMP2A/CHMP4A/VPS4B/IST1/VPS4A",6
"GO:0030575","nuclear body organization","4/184","9/7550",3.90991864499084e-05,0.00520502194783062,0.00485234335003812,"HIPK2/SERBP1/SF1/HABP4",4
