"uniprot","symbol","degree"
"A8MQ03","CYSRT1",488
"Q9NRD5","PICK1",309
"P60410","KRTAP10-8",307
"Q96HA8","NTAQ1",293
"Q13520","AQP6",287
"Q8TBB1","LNX1",283
"O75031","HSF2BP",274
"Q08117","TLE5",256
"Q15323","KRT31",251
"Q99750","MDFI",241
"P49639","HOXA1",241
"O76011","LOC100653049",240
"Q08379","GOLGA2",234
"Q9UHD9","UBQLN2",231
"Q5JX71","FAM209A",219
"A6NEM1","GOLGA6L9",211
"P0DPK4",NA,210
"Q9NUH8","TMEM14B",208
"Q5JR59","MTUS2",207
"Q0VD86","INCA1",204
"Q96D03","DDIT4L",201
"Q9Y282","ERGIC3",200
"Q12933","TRAF2",196
"O00560","SDCBP",193
"Q8TDT2","GPR152",185
"Q9H0I2","ENKD1",184
"Q07627","KRTAP1-1",180
"Q63ZY3","KANK2",178
"O14964","HGS",175
"Q3LI66","KRTAP6-2",173
"Q96BA8","CREB3L1",170
"Q15125","EBP",169
"Q8IUG1","KRTAP1-3",165
"Q9UJV3","MID2",165
"Q9BVG8","KIFC3",160
"P11912","CD79A",160
"Q04864","REL",157
"Q9NYB9","ABI2",155
"Q9NZD8","SPG21",148
"Q9Y320","TMX2",146
"Q8TED1","GPX8",146
"Q9BWG6","SCNM1",141
"Q3KNW5","SLC10A6",140
"Q8NHQ1","CEP70",139
"P26371","KRTAP5-9",138
"Q8TD31","CCHCR1",138
"P14373","TRIM27",138
"Q86YD7","FAM90A1",138
"Q8N6Y0","USHBP1",137
"Q9UGI0","ZRANB1",136
"P60328","KRTAP12-3",136
"Q7Z3Y8","KRT27",135
"Q9UBB9","TFIP11",135
"Q8N720","ZNF655",133
"P78424","POU6F2",130
"Q8TAU3","ZNF417",129
"Q9BYV2","TRIM54",123
"O43765","SGTA",123
"Q6UY14","ADAMTSL4",123
"Q8N9N5","BANP",122
"Q13064","MKRN3",121
"O43482","OIP5",121
"Q96N21","TEPSIN",121
"Q3SXY8","ARL13B",121
"Q92997","DVL3",120
