"bait_uniprot","bait_symbol","bait_usage","degree_bait","full_degree"
"O43426","SYNJ1","4","7",67
"P50570","DNM2","13","144",283
"Q9UQ16","DNM3","4","25",64
"Q13643","FHL3","5","38",228
"Q07889","SOS1","12","24",117
"P49418","AMPH","3","10",61
"Q8NFH8","REPS2","3","2",30
"Q9Y4J8","DTNA","2","4",49
"P46939","UTRN","3","5",67
"Q96HE7","ERO1A","4","5",39
"P53999","SUB1","5","5",128
"P38398","BRCA1","45","193",1079
"P11940","PABPC1","19","25",355
"Q15366","PCBP2","7","14",159
"Q14192","FHL2","15","102",233
"Q9GZV5","WWTR1","10","22",56
"Q15034","HERC3","2","4",45
"O14807","MRAS","2","2",33
"P15918","RAG1","4","10",34
"P08069","IGF1R","18","44",202
"Q15811","ITSN1","10","35",145
"P52594","AGFG1","3","3",50
"Q99708","RBBP8","11","16",41
"Q13363","CTBP1","13","489",625
"O75369","FLNB","4","12",351
"P49768","PSEN1","21","136",235
"Q07817","BCL2L1","41","63",187
"P30626","SRI","4","9",48
"Q9UMX0","UBQLN1","12","177",417
"Q9Y297","BTRC","31","89",407
"Q04637","EIF4G1","17","26",177
"Q15583","TGIF1","10","19",37
"P49810","PSEN2","8","45",105
"Q12972","PPP1R8","7","11",50
"P46013","MKI67","3","410",509
"O43639","NCK2","17","163",231
"Q6P5Z2","PKN3","4","61",140
"P11532","DMD","6","21",81
"O60941","DTNB","7","54",83
"P06730","EIF4E","21","47",112
"P06400","RB1","44","65",287
"Q96CV9","OPTN","20","196",262
"O14936","CASK","9","32",146
"P98170","XIAP","27","30",173
"P42858","HTT","17","946",1054
"P04637","TP53","175","273",1132
"Q9UJY4","GGA2","7","9",51
"P35609","ACTN2","9","35",151
"P22460","KCNA5","5","31",61
"P21580","TNFAIP3","7","54",127
"Q9Y4K3","TRAF6","36","330",616
"O15111","CHUK","16","42",186
"P31946","YWHAB","28","374",595
"Q14118","DAG1","4","41",106
"O14727","APAF1","6","5",37
"Q07666","KHDRBS1","12","45",250
"P29353","SHC1","21","95",339
"Q15311","RALBP1","11","97",146
"P19878","NCF2","13","15",32
"Q16667","CDKN3","2","7",32
"P06493","CDK1","18","77",328
"Q16637","SMN1","24","177",314
"Q9Y239","NOD1","6","12",48
"P57678","GEMIN4","2","4",146
"O15061","SYNM","2","4",37
"P23588","EIF4B","2","3",126
"Q9BUB5","MKNK1","6","28",65
"P41240","CSK","11","53",191
"P63104","YWHAZ","36","478",915
"Q04917","YWHAH","21","407",577
"O60516","EIF4EBP3","2","2",9
"Q00987","MDM2","58","144",896
"Q9UMZ2","SYNRG","3","2",23
"Q9UKL3","CASP8AP2","5","6",28
"O75074","LRP3","1","1",3
"Q99523","SORT1","14","132",164
"Q9UJY5","GGA1","13","29",83
"P11717","IGF2R","5","7",72
"Q9Y6K9","IKBKG","47","194",495
"Q9HC29","NOD2","14","40",97
"Q9Y2G2","CARD8","5","37",55
"P31947","SFN","19","144",352
"Q92934","BAD","13","63",115
"P19438","TNFRSF1A","17","134",262
"Q15628","TRADD","8","90",147
"Q13158","FADD","19","52",121
"P21796","VDAC1","7","160",351
"P25445","FAS","21","49",117
"O43521","BCL2L11","15","21",76
"P27986","PIK3R1","43","69",449
"Q13153","PAK1","38","145",273
"P46940","IQGAP1","12","144",378
"P42768","WAS","25","28",97
"P60953","CDC42","32","166",359
"Q13546","RIPK1","21","69",167
"P50591","TNFSF10","12","9",29
"P01112","HRAS","22","448",606
"O43353","RIPK2","11","58",111
"Q03135","CAV1","23","88",294
"P05067","APP","73","670",2571
"P43405","SYK","17","125",278
"P22681","CBL","33","50",314
"P00533","EGFR","79","437",1324
"P50222","MEOX2","3","3",247
"Q92882","OSTF1","6","15",45
"O15117","FYB1","6","18",22
"Q92673","SORL1","9","22",76
"P41743","PRKCI","14","101",211
"Q9NPB6","PARD6A","10","36",79
"P37173","TGFBR2","10","97",185
"P27037","ACVR2A","2","5",51
"Q9UER7","DAXX","36","111",223
"P00519","ABL1","42","82",392
"Q9NVW2","RLIM","4","5",46
"Q9NPJ4","PNRC2","7","13",28
"Q07869","PPARA","6","6",89
"P15941","MUC1","11","23",59
