"degree","proteins"
12,"P00352"
55,"Q13683"
48,"Q9ULJ8"
25,"P10124"
103,"Q14451"
273,"Q13153"
156,"P78352"
210,"O00459"
49,"Q99952"
184,"Q9HAU4"
341,"P35240"
46,"P27701"
100,"Q9UJM3"
41,"P09237"
57,"P50616"
5,"Q99102"
413,"Q9NRD5"
137,"Q9UHI6"
179,"Q04724"
129,"Q04726"
683,"Q13547"
213,"Q15797"
73,"Q9UGL1"
131,"P01730"
314,"P22681"
304,"P19174"
35,"P16471"
138,"P29597"
395,"P28482"
167,"P15498"
606,"P01112"
129,"Q06187"
203,"P36897"
278,"P43405"
34,"Q15464"
65,"Q04759"
68,"P42680"
58,"P40189"
416,"P61978"
27,"Q13239"
114,"Q14289"
323,"Q15910"
65,"Q13094"
185,"P37173"
139,"Q15942"
40,"P78314"
83,"O43255"
107,"O43561"
30,"P52566"
140,"O15524"
22,"Q16853"
18,"P51956"
135,"Q13191"
54,"Q8WV28"
106,"P52735"
118,"Q9H0H5"
60,"Q92608"
335,"P07947"
106,"P16284"
30,"P16671"
406,"P27635"
35,"Q04912"
145,"Q15303"
37,"Q06418"
53,"O43184"
20,"O60500"
65,"Q16625"
127,"Q9Y5K6"
20,"Q9HBA0"
16,"Q9HCN6"
140,"Q13625"
112,"Q13009"
336,"P08047"
107,"P32519"
78,"O15226"
203,"P20226"
222,"P45983"
3,"Q13316"
86,"P60510"
91,"O75694"
22,"Q8NBJ7"
45,"P15036"
103,"O15105"
950,"P11142"
150,"Q00403"
51,"Q92888"
130,"P10721"
309,"P07948"
449,"P27986"
252,"Q06124"
17,"Q9UHV8"
246,"P29350"
361,"P17252"
16,"P21583"
666,"P12931"
26,"P42679"
98,"Q16827"
153,"Q13322"
20,"P08637"
188,"P46109"
55,"Q99704"
21,"Q13588"
104,"O75791"
19,"Q9UQQ2"
441,"P60033"
54,"O75970"
440,"Q7Z699"
255,"P06239"
20,"Q9ULZ2"
45,"O14492"
62,"Q7Z698"
116,"P09769"
97,"P42768"
4,"P25063"
249,"Q05397"
99,"P98082"
48,"P51677"
113,"Q13291"
68,"Q92835"
175,"Q99848"
7,"Q9NR61"
47,"Q92585"
235,"Q969H0"
157,"O95644"
142,"Q7KZF4"
210,"Q13185"
167,"P83916"
13,"Q9H9Q4"
21,"Q13467"
12,"P02748"
78,"Q01974"
23,"Q9UP38"
87,"P50395"
262,"Q96CV9"
22,"Q12851"
25,"Q9UNE2"
10,"P07357"
45,"Q96C24"
19,"Q9UQ26"
24,"Q9Y2J0"
82,"P17948"
126,"P35968"
59,"P15692"
143,"P16885"
339,"P29353"
7,"P49763"
21,"P49765"
137,"P08754"
132,"Q13535"
203,"P11308"
55,"P17947"
29,"Q01543"
29,"P50549"
278,"Q15047"
117,"Q07889"
161,"P10398"
