"pubmedID","pvalue_original","pvalue","gof_original","gof","xmin_est_original","xmin","methods","n_inter","n_baits","n_preys","n_common_bait_prey","n_changeDegree_proteins","ratio_bait_prey"
"11971985",0.65,"0.59",0.135947273250499,"0.12535808350861",3,"2","affinity chromatography technology",11,2,4,2,"2",0.5
"12421765",0.11,"0.81",0.0443724491562881,"0.0130857946663568",1,"1","two hybrid",84,32,64,0,"32",0.5
"14676191",0.21,"0.38",0.0728065127950877,"0.0926837616960248",1,"7","anti tag coimmunoprecipitation",118,14,61,14,"10",0.229508196721311
"14743216",0.31,"0",0.020158340558755,"0.0403127429028349",1,"1","tandem affinity purification",1474,33,506,31,"31",0.0652173913043478
"15232106",0.5,"0.29",0.104608242377558,"0.108773710323028",11,"5","protein array",109,23,27,21,"21",0.851851851851852
"12963728",0.23,"0.31",0.124652458520514,"0.128090549297809",1,"2","anti tag coimmunoprecipitation",28,1,16,0,"1",0.0625
"14576168",0.32,"0.21",0.0869305281552402,"0.0810509981724666",2,"2","anti tag coimmunoprecipitation",61,4,26,3,"4",0.153846153846154
"15102850",0.83,"0.85",0.104336909558878,"0.0997969728594899",6,"5","anti bait coimmunoprecipitation",23,8,8,8,"5",1
"12620389",0.13,"0.01",0.127938240728307,"0.272138502080944",2,"1","two hybrid",30,3,18,0,"3",0.166666666666667
"16729043",0.2,"0.67",0.185157379310495,"0.109886958744541",4,"2","pull down",23,4,11,0,"4",0.363636363636364
"11780067",0.89,"0.06",0.0753119178665305,"0.263537425399453",3,"1","coimmunoprecipitation,ion exchange chromatography",16,2,4,0,"2",0.5
"14733938",0.63,"0.82",0.0953137671133674,"0.0608521164382355",4,"2","two hybrid",28,14,13,12,"7",0.928571428571429
"15694340",0.39,"0.27",0.133685460791046,"0.133685460791046",2,"2","surface plasmon resonance",17,6,6,5,"0",1
"16189514",0.46,"0.42",0.0379914473028184,"0.0379914473028184",11,"11","two hybrid pooling approach",2582,91,68,20,"0",0.747252747252747
"16055720",0.19,"0.08",0.0493098134840443,"0.0491723079578952",1,"1","pull down",69,3,55,0,"3",0.0545454545454545
"15383534",0.68,"0.11",0.116035606520823,"0.195771113544843",4,"1","anti tag coimmunoprecipitation",16,6,7,3,"1",0.857142857142857
"15647280",0.2,"0.6",0.111603532717868,"0.0670796107798149",3,"3","affinity chromatography technology",58,3,20,3,"3",0.15
"16713569",0.15,"0.27",0.0179510785139345,"0.0132092283401221",1,"1","two hybrid",686,198,413,58,"160",0.479418886198547
"16415788",0.42,"0.07",0.144180905190775,"0.328447182684599",2,"1","pull down",15,7,11,7,"2",0.636363636363636
"16364915",0.7,"0.74",0.118477165038493,"0.123593200161331",7,"4","anti tag coimmunoprecipitation",25,8,7,6,"7",0.875
"17113138",0.53,"0.66",0.133942127766547,"0.105809903198676",6,"4","anti bait coimmunoprecipitation",28,7,9,6,"7",0.777777777777778
"17041588",0.43,"0.56",0.121324329894392,"0.0604371632657221",3,"1","anti bait coimmunoprecipitation",46,12,21,12,"12",0.571428571428571
"16306228",0.31,"0.46",0.0981969063204879,"0.0722878367861489",2,"1","tandem affinity purification",29,12,17,4,"11",0.705882352941177
"17531812",0.58,"0.02",0.0477003065042388,"0.102035109300727",1,"1","anti bait coimmunoprecipitation",72,5,43,5,"5",0.116279069767442
"15799966",0.72,"0.8",0.0977741619532835,"0.0854885431784385",3,"4","pull down",41,14,10,8,"6",0.714285714285714
"18001824",0.69,"0.59",0.112390614689991,"0.112390614689991",2,"2","confocal microscopy",10,2,3,2,"0",0.666666666666667
"18001825",0.41,"0.39",0.160148796340809,"0.172032414796861",2,"2","fluorescence microscopy",12,2,3,2,"1",0.666666666666667
"17853893",0.16,"0.3",0.146288205103868,"0.161066947975915",1,"2","two hybrid",18,9,9,7,"4",1
"17948026",0.21,"0.42",0.141342029984688,"0.124138264366124",4,"5","anti bait coimmunoprecipitation,two hybrid",53,13,15,12,"9",0.866666666666667
"10373431",0.74,"0.61",0.0815212532172889,"0.10230144094346",2,"2","anti bait coimmunoprecipitation",18,2,9,0,"2",0.222222222222222
"18418385",0.44,"0.18",0.105224248617281,"0.130112541041954",1,"1","biochemical",18,2,6,2,"1",0.333333333333333
"18775313",0.5,"0.19",0.0785437819219668,"0.101049432869392",3,"4","anti tag coimmunoprecipitation",120,10,47,2,"10",0.212765957446809
"17452450",0.26,"0.09",0.173717249543676,"0.380194231087875",2,"1","anti tag coimmunoprecipitation",16,5,9,3,"4",0.555555555555556
"18984161",0.77,"0.88",0.11847694774335,"0.09268359119106",7,"7","molecular sieving",28,1,9,0,"1",0.111111111111111
"17112726",0.36,"0.23",0.166824328937158,"0.174432287568787",3,"2","anti bait coimmunoprecipitation",18,7,8,7,"4",0.875
"19447967",0.29,"0.28",0.0737921687132972,"0.0542425091431364",4,"1","two hybrid pooling approach",58,40,29,9,"29",0.725
"19410543",0.78,"0.79",0.0891588709267367,"0.0815093651250985",3,"3","pull down",26,5,8,1,"4",0.625
"19060904",0.41,"0.23",0.0215755522407211,"0.0245784628003201",1,"1","two hybrid array,two hybrid pooling approach",232,153,79,7,"79",0.516339869281046
"19410547",0.23,"0.32",0.199816471205005,"0.208224869523395",2,"2","anti bait coimmunoprecipitation",11,4,8,4,"2",0.5
"19427028",0.51,"0.72",0.116238635099884,"0.084965646303392",2,"2","anti bait coimmunoprecipitation",21,5,10,5,"3",0.5
"19490896",0.27,"0.16",0.109788842602544,"0.125413985364579",3,"3","anti tag coimmunoprecipitation",87,11,34,8,"5",0.323529411764706
"19214193",0.38,"0.48",0.0502533490717685,"0.0405970578384438",1,"1","biochemical",32,2,2,0,"2",1
"19214185",0.4,"0.84",0.109065802738388,"0.058408134314395",1,"1","chromatography technology",18,4,6,2,"4",0.666666666666667
"19703393",0.14,"0.94",0.167595608563908,"0.060852123840385",2,"2","anti bait coimmunoprecipitation",19,4,11,3,"3",0.363636363636364
"18782753",0.39,"0.27",0.15683900606243,"0.105416086139806",26,"8","anti tag coimmunoprecipitation",253,18,45,17,"17",0.4
"20360068",0.8,"0.01",0.0818104548831315,"0.0785807139589468",13,"1","tandem affinity purification",237,38,112,35,"37",0.339285714285714
"20178742",0.31,"0.35",0.194028904093967,"0.241149139993614",5,"4","anti tag coimmunoprecipitation",24,5,8,4,"4",0.625
"20153263",0.85,"0.14",0.0831568014086868,"0.271653632386527",5,"3","anti bait coimmunoprecipitation",20,7,8,6,"6",0.875
"19380743",0.12,"0.32",0.0523511218140498,"0.037980962947632",1,"1","tandem affinity purification",133,9,89,9,"9",0.101123595505618
"16085932",0.12,"0.93",0.147847348087063,"0.0387373734882861",3,"3","tandem affinity purification",36,9,17,8,"6",0.529411764705882
"15601820",0.38,"0.16",0.0964985637760659,"0.206736491568653",4,"3","anti tag coimmunoprecipitation",35,9,9,4,"9",1
"17574030",0.4,"0.9",0.147054969016676,"0.0781884616128847",3,"3","anti tag coimmunoprecipitation",19,8,8,7,"1",1
"20531386",0.13,"0.03",0.151304626734156,"0.207977035388661",3,"1","anti bait coimmunoprecipitation",34,3,16,2,"3",0.1875
"20601937",0.56,"0.08",0.100944314540078,"0.155814367056796",2,"2","anti tag coimmunoprecipitation",49,12,20,11,"9",0.6
"20920251",0.24,"0.21",0.192607055399581,"0.192607055399581",5,"5","two hybrid",27,4,7,3,"0",0.571428571428571
"20711169",0.83,"0.35",0.116456272554544,"0.208224869523395",3,"2","anti bait coimmunoprecipitation",13,3,8,3,"2",0.375
"20808282",0.4,"0.18",0.113854100842337,"0.118630321491845",2,"3","affinity chromatography technology",53,5,20,5,"2",0.25
"20562859",0.53,"0.53",0.0530972189664053,"0.0665924792023791",6,"10","anti tag coimmunoprecipitation",2899,65,1191,65,"65",0.054575986565911
"21258344",0.56,"0.47",0.107214885022197,"0.0475375618994339",4,"3","anti bait coimmunoprecipitation",101,11,45,10,"11",0.244444444444444
"20676093",0.77,"0.32",0.100842935660911,"0.199816471205005",4,"2","pull down",17,5,7,2,"4",0.714285714285714
"21326211",0.89,"0.66",0.0837868235119565,"0.114059590795979",4,"4","anti tag coimmunoprecipitation",20,6,7,5,"4",0.857142857142857
"11546874",0.79,"0.43",0.0997971295443387,"0.220553716552129",5,"3","anti tag coimmunoprecipitation",20,6,6,2,"6",1
"16601204",0.47,"0.69",0.144835167913331,"0.097641873072015",4,"2","anti tag coimmunoprecipitation",22,4,9,2,"4",0.444444444444444
"16452507",0.79,"0.04",0.0919687972711084,"0.230713651678153",3,"1","anti bait coimmunoprecipitation",22,4,13,4,"4",0.307692307692308
"21516116",0.11,"0.64",0.0304034490299359,"0.0193591611813004",2,"2","two hybrid",775,573,323,106,"303",0.56369982547993
"18922472",0.22,"0.74",0.0590220316803093,"0.0383098177523075",1,"2","anti tag coimmunoprecipitation",64,7,47,7,"5",0.148936170212766
"20371770",0.47,"0.92",0.0784668159486687,"0.040825921106176",1,"2","pull down",33,4,16,4,"4",0.25
"21376236",0.49,"0.89",0.153304005476285,"0.0976476849617109",3,"3","cosedimentation through density gradient",16,2,5,1,"2",0.4
"19636380",0.37,"0.02",0.112847471037126,"0.457133741225446",2,"1","tandem affinity purification",20,5,11,5,"3",0.454545454545455
"16943429",0.67,"0.35",0.108490029649689,"0.208224869523395",3,"2","pull down",15,5,8,5,"5",0.625
"22493164",0.96,"0.82",0.0411351083421942,"0.0594579129759569",6,"6","two hybrid array",230,67,79,46,"65",0.848101265822785
"21982860",0.16,"0.8",0.0857676676973261,"0.0270530186562451",2,"2","protein array",58,42,48,39,"24",0.875
"21729782",0.4,"0.02",0.130276849119494,"0.0797808267461761",4,"2","anti tag coimmunoprecipitation",148,9,70,9,"9",0.128571428571429
"21888893",0.16,"0.07",0.054754346084499,"0.0592016301131139",1,"1","tandem affinity purification",83,3,60,3,"3",0.05
"20801936",0.6,"0.1",0.10217029517615,"0.204462467855574",2,"1","tandem affinity purification",20,3,13,3,"3",0.230769230769231
