"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"16189514","0.93","15","130","145","3045","54","0.024917431039755","3.11591337458859",6479
"25416956","0.18","27","307","194","4269","101","0.0386431205151377","2.60680369530807",13797
"16713569","0.02","2","177","1247","2699","62","0.0213683622262321","2.05632970712353",5086
"16273093","0.03","2","66","58","90","8","0.0766132705129777","2.87548403753284",160
"16729043","0.8","2","12","15","20","8","0.0698223323982604","2.35691455083584",33
"15231748","0.01","1","115","617","617","27","0.0262598435573446","2.36823130432586",875
"28514442","0","16","377","2260","11013","112","0.0312329866926863","2.86499568398396",58024
"28628118","0","18","51","38","79","40","0.162023325309675","2.79468887341741",767
"24189400","0","1","91","272","272","17","0.054790562972117","2.04942178335991",496
"25640309","0.77","10","36","51","196","27","0.0483537264897814","3.38656823626005",602
"18835194","0.27","2","4","6","7","4","0.220998966063565","2.56769531061609",10
"12376551","0.07","1","8","11","11","4","0.192756864415056","1.86123349999887",14
"10022833","0.9","1","14","15","15","5","0.0454197219710462","2.11436353564941",18
"14743216","0.07","1","158","532","532","46","0.0293509929160668","1.77355380144991",1659
"24728074","0","2","59","63","73","7","0.227925796236405","2.16501048833881",201
"11071635","0.25","2","13","10","16","5","0.13783386576697","2.70511408941755",22
"25241761","0.34","3","25","143","371","20","0.0368115603931543","2.55588691524902",563
"14523017","0.07","1","4","6","6","3","0.433285309706649","1.63148189175029",10
"26344197","0","14","99","702","3327","86","0.055922975940645","2.54028486132933",16034
"26824392","0.7","1","38","47","47","7","0.0378014183352784","2.22056337606834",63
"12578829","0.15","4","10","9","16","7","0.17441458180856","3.16320776540476",33
"26553929","0.38","5","13","7","14","9","0.151539808365358","3.38246939321913",33
"12620389","0.16","2","15","14","23","5","0.135071211166529","2.78965701921659",32
"17474147","0","1","205","342","342","15","0.120500488935827","1.74452635843491",974
"26186194","0","7","96","1812","7113","85","0.0218989836161431","2.55363146279388",21277
"8621719","0.14","1","11","12","12","4","0.150658317433764","1.88911417458442",16
"15190072","0.07","1","5","8","8","3","0.322963188778351","1.8329573134766",10
"15144186","0.66","2","8","12","19","5","0.0678117089536661","3.10609438235094",21
"25814554","0.47","3","79","82","411","24","0.0471175393013067","2.06150803508916",634
"10790433","0.09","1","11","13","13","4","0.144479384738447","1.99450465506674",16
"21675959","0.42","2","8","12","18","7","0.100219926726998","2.49658535832624",24
"20102225","0.95","11","17","8","33","13","0.0554850268500723","6.91896683381197",134
"25609649","0","1","1304","1987","1987","46","0.018637549999012","2.27258970236483",3374
"8628277","0.43","2","5","5","8","4","0.176059005445973","2.77373675375819",9
"15588985","0.74","1","9","48","48","6","0.026387237269636","2.36256639513666",42
"8654373","0.04","1","5","8","8","3","0.406826894257088","1.74099365142114",11
"16291755","0.26","1","4","14","14","4","0.109801114598579","2.23684452481651",12
"14633987","0.39","5","7","3","9","5","0.197021787522953","4.82522375245164",14
"16533805","0.13","1","7","10","10","4","0.173739467803064","1.90584211774056",12
"20195357","0.02","1","84","724","724","33","0.0270609448067407","2.32133650376516",938
"26496610","0.27","16","273","414","4509","100","0.0287082248179478","2.57412925102536",15251
"10567404","0.58","1","15","16","16","4","0.0734468777192314","2.14146373757626",19
"10847592","0.41","2","8","6","11","4","0.119470413421759","2.95143900536223",12
"23661758","0.18","11","25","17","38","17","0.136068314742526","4.1659724113226",186
"12077347","0.23","3","5","7","8","4","0.28781798103232","3.61445455034743",14
"12628923","0.17","2","8","9","10","7","0.174537840334938","2.02548179071713",22
"20936779","0.04","1","80","490","490","26","0.026552316704874","2.16422181360725",687
"10903862","0.23","3","11","9","10","5","0.160363440971321","2.61859028643716",26
"21516116","0.47","2","148","394","1111","20","0.0170558226187008","2.61154982615679",1130
"29997244","0.07","1","60","205","205","6","0.0162283373487432","3.46091495315016",148
"21145461","0","1","1037","1656","1656","23","0.0631618827399427","1.90023723595315",4418
"15761153","0.5","2","113","108","196","19","0.0404787347009155","2.19664937872095",411
"18729074","0","1","53","68","68","4","0.143096823366207","2.24432037687474",97
"12522145","0.01","2","17","16","19","6","0.199237072050761","2.22105378342308",40
"20675402","0.45","4","6","5","10","5","0.153442280624878","4.15255438871435",18
"19380743","0","1","119","265","265","19","0.0553865067874694","1.88265772328681",632
"16636290","0.31","1","15","18","18","4","0.0736002156904284","2.56852092533578",18
"25036637","0.03","1","105","522","522","38","0.0327542845577957","1.83791575198258",1258
"8662998","0.16","1","7","10","10","6","0.172301420300455","1.77414500008348",15
"15128873","0.27","2","4","6","7","4","0.220998966063565","2.56769531061609",10
"12771190","0.8","1","10","14","14","5","0.0647522191713878","2.0609565729288",16
"9344843","0.43","2","5","5","8","4","0.176059005445973","2.77373675375819",9
"16893902","0.08","1","6","8","8","3","0.325691333526171","1.91098800906387",9
"18632619","0.06","1","4","7","7","3","0.488137126720545","1.68903526784902",10
"29643511","0","1","73","91","91","5","0.13741751949765","2.25355991794321",128
"30024968","0.11","1","45","45","45","3","0.0509821311516332","3.22692285052886",46
"11786539","0.85","3","7","6","11","5","0.0804412415083081","3.61633289892327",15
"17353931","0","7","295","403","1978","66","0.0613495087587361","2.34425217398418",5794
"14749388","0.33","2","5","7","13","4","0.126378612686428","2.67038087877009",14
"22939629","0.05","31","180","205","2877","96","0.0498827014468065","3.23247156592969",13323
"18256687","0.13","1","4","8","8","4","0.223745965016698","1.89763340108298",9
"9535855","0.23","3","7","7","10","4","0.171999844096515","3.31738173008101",18
"21988832","0.06","4","71","513","2566","33","0.0325790998350328","2.70383111603604",3502
