"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:3347","osteosarcoma","13/43","213/7271",1.36827946049442e-10,4.37671323128224e-08,2.02419444606523e-08,"ESR2/ESR1/JUN/EGFR/XPO1/BMI1/SUMO1/TP53/MDM2/FN1/CTNNB1/NPM1/CDC5L",13
"DOID:5683","hereditary breast ovarian cancer","13/43","215/7271",1.53838777900957e-10,4.37671323128224e-08,2.02419444606523e-08,"ESR2/ESR1/ELAVL1/EGFR/EGLN3/XPO1/SUMO1/TP53/BRCA1/MYC/MDM2/CDK2/NPM1",13
"DOID:184","bone cancer","13/43","238/7271",5.46218850833769e-10,1.03599508708138e-07,4.79139342836639e-08,"ESR2/ESR1/JUN/EGFR/XPO1/BMI1/SUMO1/TP53/MDM2/FN1/CTNNB1/NPM1/CDC5L",13
"DOID:201","connective tissue cancer","15/43","364/7271",9.8139301611192e-10,1.16823041291342e-07,5.40297110773018e-08,"ESR2/ESR1/JUN/EGFR/XPO1/BMI1/SUMO1/TP53/MYC/MCM2/MDM2/FN1/CTNNB1/NPM1/CDC5L",15
"DOID:0060100","musculoskeletal system cancer","16/43","430/7271",1.02656451046873e-09,1.16823041291342e-07,5.40297110773018e-08,"ESR2/ESR1/JUN/EGFR/XPO1/BMI1/SUMO1/TP53/BRCA1/MYC/MCM2/MDM2/FN1/CTNNB1/NPM1/CDC5L",16
"DOID:170","endocrine gland cancer","16/43","490/7271",6.88344937270629e-09,6.5278044884498e-07,3.01905674241504e-07,"ESR2/ESR1/NTRK1/JUN/EGFR/CFTR/TP53/BRCA1/MYC/HSP90AA1/MCM2/MDM2/FN1/COPS5/PCLAF/CTNNB1",16
"DOID:3963","thyroid carcinoma","11/43","195/7271",1.05865115369577e-08,8.60532152075565e-07,3.97989155524727e-07,"ESR2/ESR1/NTRK1/EGFR/TP53/MCM2/MDM2/FN1/COPS5/PCLAF/CTNNB1",11
"DOID:1781","thyroid cancer","11/43","208/7271",2.07833866246252e-08,1.47821837367646e-06,6.83664033704775e-07,"ESR2/ESR1/NTRK1/EGFR/TP53/MCM2/MDM2/FN1/COPS5/PCLAF/CTNNB1",11
"DOID:0050736","autosomal dominant disease","14/43","395/7271",2.8624163849857e-08,1.80968324784096e-06,8.36963855258976e-07,"ESR2/ESR1/ELAVL1/EGFR/EGLN3/XPO1/SUMO1/TP53/BRCA1/HTT/MYC/MDM2/CDK2/NPM1",14
"DOID:2151","malignant ovarian surface epithelial-stromal neoplasm","12/43","283/7271",4.98774942403926e-08,2.36502451856528e-06,1.09380469825422e-06,"ESR2/ESR1/NTRK1/EGFR/BMI1/TP53/BRCA1/MYC/YWHAZ/MCM2/MDM2/CTNNB1",12
"DOID:2152","ovary epithelial cancer","12/43","283/7271",4.98774942403926e-08,2.36502451856528e-06,1.09380469825422e-06,"ESR2/ESR1/NTRK1/EGFR/BMI1/TP53/BRCA1/MYC/YWHAZ/MCM2/MDM2/CTNNB1",12
"DOID:4001","ovarian carcinoma","12/43","283/7271",4.98774942403926e-08,2.36502451856528e-06,1.09380469825422e-06,"ESR2/ESR1/NTRK1/EGFR/BMI1/TP53/BRCA1/MYC/YWHAZ/MCM2/MDM2/CTNNB1",12
"DOID:2394","ovarian cancer","12/43","309/7271",1.31459804636245e-07,5.75389452600178e-06,2.66112964850698e-06,"ESR2/ESR1/NTRK1/EGFR/BMI1/TP53/BRCA1/MYC/YWHAZ/MCM2/MDM2/CTNNB1",12
"DOID:3459","breast carcinoma","13/43","378/7271",1.45252571810917e-07,5.90347952574372e-06,2.73031150020522e-06,"ESR2/ESR1/TRIM25/EGFR/BMI1/TP53/BRCA1/MYC/HSP90AA1/MCM2/MDM2/CTNNB1/NPM1",13
"DOID:219","colon cancer","11/43","277/7271",3.90568673386475e-07,1.48155716771269e-05,6.8520819892364e-06,"ELAVL1/JUN/EGFR/TP53/MYC/HSPA8/HSP90AA1/LMNA/MCM2/MDM2/CTNNB1",11
"DOID:9256","colorectal cancer","11/43","282/7271",4.67418321101068e-07,1.53093927196673e-05,7.08047022461719e-06,"ELAVL1/JUN/EGFR/TP53/MYC/HSPA8/HSP90AA1/LMNA/MCM2/MDM2/CTNNB1",11
"DOID:2237","hepatitis","13/43","419/7271",4.79824575793924e-07,1.53093927196673e-05,7.08047022461719e-06,"ESR1/JUN/EGFR/XPO1/TP53/MYC/GRB2/MOV10/HSP90AA1/MCM2/MDM2/CTNNB1/NPM1",13
"DOID:5672","large intestine cancer","11/43","283/7271",4.84304163363816e-07,1.53093927196673e-05,7.08047022461719e-06,"ELAVL1/JUN/EGFR/TP53/MYC/HSPA8/HSP90AA1/LMNA/MCM2/MDM2/CTNNB1",11
"DOID:2621","autonomic nervous system neoplasm","12/43","355/7271",5.92633186618779e-07,1.68604141593043e-05,7.7978050870892e-06,"APP/NTRK1/ELAVL1/JUN/LRRK2/EGFR/BMI1/TP53/MYC/MDM2/CDK2/CTNNB1",12
"DOID:769","neuroblastoma","12/43","355/7271",5.92633186618779e-07,1.68604141593043e-05,7.7978050870892e-06,"APP/NTRK1/ELAVL1/JUN/LRRK2/EGFR/BMI1/TP53/MYC/MDM2/CDK2/CTNNB1",12
"DOID:10155","intestinal cancer","11/43","295/7271",7.33422910655062e-07,1.98722683887014e-05,9.19076329141681e-06,"ELAVL1/JUN/EGFR/TP53/MYC/HSPA8/HSP90AA1/LMNA/MCM2/MDM2/CTNNB1",11
"DOID:120","female reproductive organ cancer","13/43","445/7271",9.55794830438732e-07,2.47203299327108e-05,1.14329525172097e-05,"ESR2/ESR1/NTRK1/JUN/EGFR/BMI1/TP53/BRCA1/MYC/YWHAZ/MCM2/MDM2/CTNNB1",13
