"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048145","regulation of fibroblast proliferation","8/50","77/15723",1.03665750033645e-10,1.69618931852787e-07,9.12928759198137e-08,"ESR1/JUN/EGFR/BMI1/TP53/MYC/FN1/CTNNB1",8
"GO:0048144","fibroblast proliferation","8/50","79/15723",1.27917746495314e-10,1.69618931852787e-07,9.12928759198137e-08,"ESR1/JUN/EGFR/BMI1/TP53/MYC/FN1/CTNNB1",8
"GO:0031647","regulation of protein stability","11/50","289/15723",1.32290003172443e-09,1.1694436280444e-06,6.29421909830993e-07,"LRRK2/CUL3/SUMO1/TP53/HTT/HSPA8/HSP90AA1/LMNA/MDM2/TNIP2/HSP90AB1",11
"GO:0048146","positive regulation of fibroblast proliferation","6/50","47/15723",7.37565505552468e-09,4.89005930181287e-06,2.63194427770828e-06,"ESR1/JUN/EGFR/BMI1/MYC/FN1",6
"GO:0034504","protein localization to nucleus","10/50","290/15723",2.08997765052744e-08,1.10852414583975e-05,5.96633619813727e-06,"ELAVL1/LRRK2/XPO1/SUMO1/TP53/LMNA/MDM2/LARP7/HSP90AB1/MEPCE",10
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process","8/50","162/15723",3.97041305426726e-08,1.57756670866959e-05,8.49083296402305e-06,"SUMO2/LRRK2/XPO1/SUMO1/MDM2/DISC1/HSP90AB1/CDK2",8
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","11/50","403/15723",4.1640146910585e-08,1.57756670866959e-05,8.49083296402305e-06,"TRIM25/SUMO2/LRRK2/RNF4/XPO1/CUL3/SUMO1/MDM2/HSP90AB1/CDK2/CTNNB1",11
"GO:1903362","regulation of cellular protein catabolic process","9/50","252/15723",8.54680205564167e-08,2.83326488144521e-05,1.52492941940133e-05,"SUMO2/LRRK2/XPO1/SUMO1/HSP90AA1/MDM2/DISC1/HSP90AB1/CDK2",9
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","7/50","134/15723",2.05364175223564e-07,5.68125109405512e-05,3.05778220351621e-05,"SUMO2/LRRK2/XPO1/SUMO1/MDM2/HSP90AB1/CDK2",7
"GO:0017038","protein import","8/50","205/15723",2.4452274996459e-07,5.68125109405512e-05,3.05778220351621e-05,"ELAVL1/LRRK2/SUMO1/TP53/HSPA8/HSP90AA1/LMNA/HSP90AB1",8
"GO:1901987","regulation of cell cycle phase transition","10/50","378/15723",2.4971319045643e-07,5.68125109405512e-05,3.05778220351621e-05,"APP/EGFR/CUL3/TP53/BRCA1/MDM2/CDK2/NPM1/CDC5L/MEPCE",10
"GO:0010498","proteasomal protein catabolic process","11/50","483/15723",2.5940204997189e-07,5.68125109405512e-05,3.05778220351621e-05,"TRIM25/SUMO2/LRRK2/RNF4/XPO1/CUL3/SUMO1/MDM2/HSP90AB1/CDK2/CTNNB1",11
"GO:0042176","regulation of protein catabolic process","10/50","388/15723",3.17681309142614e-07,5.68125109405512e-05,3.05778220351621e-05,"SUMO2/LRRK2/EGFR/XPO1/SUMO1/HSP90AA1/MDM2/DISC1/HSP90AB1/CDK2",10
"GO:0044770","cell cycle phase transition","11/50","497/15723",3.44953633888404e-07,5.68125109405512e-05,3.05778220351621e-05,"APP/EGFR/CUL3/TP53/BRCA1/MYC/MDM2/CDK2/NPM1/CDC5L/MEPCE",11
"GO:0051972","regulation of telomerase activity","5/50","47/15723",3.67378149730472e-07,5.68125109405512e-05,3.05778220351621e-05,"TP53/MYC/HSP90AA1/HSP90AB1/CTNNB1",5
"GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","8/50","217/15723",3.77455379630903e-07,5.68125109405512e-05,3.05778220351621e-05,"SUMO2/LRRK2/XPO1/SUMO1/MDM2/DISC1/HSP90AB1/CDK2",8
"GO:0006913","nucleocytoplasmic transport","9/50","301/15723",3.85605277877044e-07,5.68125109405512e-05,3.05778220351621e-05,"ELAVL1/LRRK2/XPO1/SUMO1/NXF1/TP53/LMNA/HSP90AB1/NPM1",9
"GO:0051169","nuclear transport","9/50","301/15723",3.85605277877044e-07,5.68125109405512e-05,3.05778220351621e-05,"ELAVL1/LRRK2/XPO1/SUMO1/NXF1/TP53/LMNA/HSP90AB1/NPM1",9
"GO:0051090","regulation of DNA-binding transcription factor activity","10/50","420/15723",6.56732908840741e-07,9.09377550680424e-05,4.89448264953026e-05,"APP/ESR2/ESR1/TRIM25/NTRK1/SUMO1/COPS5/CTNNB1/NPM1/RNF2",10
"GO:0009314","response to radiation","10/50","422/15723",6.85805091010877e-07,9.09377550680424e-05,4.89448264953026e-05,"APP/NTRK1/EGFR/TP53/BRCA1/MYC/GRB2/MDM2/PCLAF/NPM1",10
"GO:0031058","positive regulation of histone modification","6/50","102/15723",8.10426018295758e-07,0.000102345228596207,5.50845955292756e-05,"LRRK2/TP53/BRCA1/LMNA/CTNNB1/SNW1",6
"GO:0031331","positive regulation of cellular catabolic process","10/50","440/15723",1.00259848220334e-06,0.000120858689763785,6.50489732951069e-05,"APP/SUMO2/LRRK2/SUMO1/HTT/MYC/MOV10/HSP90AA1/MDM2/DISC1",10
"GO:0007346","regulation of mitotic cell cycle","10/50","444/15723",1.08829277369757e-06,0.000125484888515042,6.75389016537258e-05,"APP/EGFR/CUL3/TP53/BRCA1/MYC/MDM2/CDK2/CTNNB1/MEPCE",10
"GO:1901989","positive regulation of cell cycle phase transition","6/50","111/15723",1.33358358715088e-06,0.000147360986380173,7.93131291305526e-05,"APP/EGFR/CUL3/MDM2/NPM1/MEPCE",6
"GO:0051091","positive regulation of DNA-binding transcription factor activity","8/50","258/15723",1.39521954687601e-06,0.000148004889532608,7.96596928658474e-05,"APP/ESR2/ESR1/TRIM25/NTRK1/COPS5/CTNNB1/NPM1",8
"GO:0045862","positive regulation of proteolysis","9/50","356/15723",1.56143349868333e-06,0.0001592662168657,8.57208025997811e-05,"APP/SUMO2/LRRK2/EGLN3/SUMO1/MYC/MDM2/FN1/DISC1",9
"GO:0051098","regulation of binding","9/50","358/15723",1.63532880822818e-06,0.00016062562960819,8.64524703297238e-05,"APP/JUN/LRRK2/SUMO1/MYC/DISC1/HSP90AB1/CTNNB1/MEPCE",9
"GO:0061136","regulation of proteasomal protein catabolic process","7/50","185/15723",1.81581196543306e-06,0.000171983333297446,9.25654520724522e-05,"SUMO2/LRRK2/XPO1/SUMO1/MDM2/HSP90AB1/CDK2",7
"GO:0071824","protein-DNA complex subunit organization","7/50","196/15723",2.66690434391199e-06,0.000243853014872846,0.000131247395478122,"ESR1/RNF4/TP53/MYC/MCM2/H3C1/NPM1",7
"GO:0000082","G1/S transition of mitotic cell cycle","7/50","197/15723",2.75851826779238e-06,0.000243853014872846,0.000131247395478122,"EGFR/CUL3/TP53/MYC/MDM2/CDK2/MEPCE",7
"GO:1901990","regulation of mitotic cell cycle phase transition","8/50","289/15723",3.2492252401596e-06,0.000277965978609782,0.00014960779034487,"APP/EGFR/CUL3/TP53/BRCA1/MDM2/CDK2/MEPCE",8
"GO:0007098","centrosome cycle","6/50","130/15723",3.3555161565332e-06,0.000277986315466172,0.000149618736116587,"XPO1/BRCA1/PCLAF/CDK2/CTNNB1/NPM1",6
"GO:1902692","regulation of neuroblast proliferation","4/50","33/15723",3.45910573543879e-06,0.000277986315466172,0.000149618736116587,"LRRK2/TP53/DISC1/CTNNB1",4
"GO:0051865","protein autoubiquitination","5/50","75/15723",3.86641537578222e-06,0.000296353733068604,0.000159504509820206,"LRRK2/RNF4/CUL3/BRCA1/MDM2",5
"GO:0051973","positive regulation of telomerase activity","4/50","34/15723",3.91115409404267e-06,0.000296353733068604,0.000159504509820206,"MYC/HSP90AA1/HSP90AB1/CTNNB1",4
"GO:0035195","miRNA-mediated gene silencing","5/50","76/15723",4.12883471511719e-06,0.0003041574906803,0.000163704674669559,"ESR1/ELAVL1/EGFR/TP53/MOV10",5
"GO:0016032","viral process","9/50","404/15723",4.40159195029375e-06,0.000307184785583658,0.000165334035584441,"TRIM25/JUN/EGFR/TP53/HSPA8/LARP7/HEXIM1/HSP90AB1/SNW1",9
"GO:0044772","mitotic cell cycle phase transition","9/50","404/15723",4.40159195029375e-06,0.000307184785583658,0.000165334035584441,"APP/EGFR/CUL3/TP53/BRCA1/MYC/MDM2/CDK2/MEPCE",9
"GO:0031023","microtubule organizing center organization","6/50","143/15723",5.82408057856708e-06,0.000392543037369752,0.000211275842928231,"XPO1/BRCA1/PCLAF/CDK2/CTNNB1/NPM1",6
"GO:0035194","post-transcriptional gene silencing by RNA","5/50","82/15723",6.01116933707467e-06,0.000392543037369752,0.000211275842928231,"ESR1/ELAVL1/EGFR/TP53/MOV10",5
"GO:0044843","cell cycle G1/S phase transition","7/50","222/15723",6.0687271991553e-06,0.000392543037369752,0.000211275842928231,"EGFR/CUL3/TP53/MYC/MDM2/CDK2/MEPCE",7
"GO:0060964","regulation of miRNA-mediated gene silencing","4/50","39/15723",6.85599795691412e-06,0.000432907299565149,0.000233000832821442,"ESR1/ELAVL1/EGFR/TP53",4
"GO:0060560","developmental growth involved in morphogenesis","7/50","228/15723",7.22778867180242e-06,0.000445769664130698,0.000239923658236575,"APP/ESR1/HSP90AA1/FN1/DISC1/HSP90AB1/CTNNB1",7
"GO:0016441","post-transcriptional gene silencing","5/50","86/15723",7.59963280765467e-06,0.00045805059558864,0.000246533542755496,"ESR1/ELAVL1/EGFR/TP53/MOV10",5
"GO:0060147","regulation of post-transcriptional gene silencing","4/50","41/15723",8.4019052608015e-06,0.000481759878489568,0.000259294433290408,"ESR1/ELAVL1/EGFR/TP53",4
"GO:1900368","regulation of post-transcriptional gene silencing by RNA","4/50","41/15723",8.4019052608015e-06,0.000481759878489568,0.000259294433290408,"ESR1/ELAVL1/EGFR/TP53",4
"GO:0051402","neuron apoptotic process","7/50","234/15723",8.56543985106178e-06,0.000481759878489568,0.000259294433290408,"APP/NTRK1/JUN/EGLN3/TP53/HSP90AB1/CTNNB1",7
"GO:1901992","positive regulation of mitotic cell cycle phase transition","5/50","89/15723",8.99301245244635e-06,0.000481759878489568,0.000259294433290408,"APP/EGFR/CUL3/MDM2/MEPCE",5
"GO:0006606","protein import into nucleus","6/50","155/15723",9.25318433917491e-06,0.000481759878489568,0.000259294433290408,"ELAVL1/LRRK2/SUMO1/TP53/LMNA/HSP90AB1",6
"GO:1903364","positive regulation of cellular protein catabolic process","6/50","155/15723",9.25318433917491e-06,0.000481759878489568,0.000259294433290408,"SUMO2/LRRK2/SUMO1/HSP90AA1/MDM2/DISC1",6
"GO:0060966","regulation of gene silencing by RNA","4/50","42/15723",9.2646130478763e-06,0.000481759878489568,0.000259294433290408,"ESR1/ELAVL1/EGFR/TP53",4
"GO:1903320","regulation of protein modification by small protein conjugation or removal","7/50","238/15723",9.56677670898933e-06,0.000487905612158456,0.000262602210878331,"LRRK2/CUL3/BMI1/BRCA1/HSP90AA1/HSP90AB1/CTNNB1",7
"GO:0051170","import into nucleus","6/50","159/15723",1.07051057615275e-05,0.000535659254331525,0.000288304337887413,"ELAVL1/LRRK2/SUMO1/TP53/LMNA/HSP90AB1",6
"GO:0070997","neuron death","8/50","343/15723",1.14148600503882e-05,0.000560596460252399,0.000301726125308507,"APP/NTRK1/JUN/LRRK2/EGLN3/TP53/HSP90AB1/CTNNB1",8
"GO:0051052","regulation of DNA metabolic process","9/50","457/15723",1.18886120657011e-05,0.00056406439654627,0.000303592649724832,"EGFR/TP53/BRCA1/MYC/HSP90AA1/HSP90AB1/CDK2/CTNNB1/NPM1",9
"GO:0065004","protein-DNA complex assembly","6/50","162/15723",1.19108620688503e-05,0.00056406439654627,0.000303592649724832,"ESR1/RNF4/TP53/MCM2/H3C1/NPM1",6
"GO:0060965","negative regulation of miRNA-mediated gene silencing","3/50","15/15723",1.34030134295189e-05,0.000621354783529344,0.000334427675821938,"ESR1/ELAVL1/TP53",3
"GO:0016049","cell growth","9/50","465/15723",1.36544048846705e-05,0.000621354783529344,0.000334427675821938,"APP/ESR2/EGFR/TP53/HSP90AA1/FN1/DISC1/HSP90AB1/CTNNB1",9
"GO:0045786","negative regulation of cell cycle","8/50","353/15723",1.40578005323381e-05,0.000621354783529344,0.000334427675821938,"TP53/BRCA1/MDM2/HEXIM1/CDK2/CTNNB1/NPM1/CDC5L",8
"GO:2001233","regulation of apoptotic signaling pathway","8/50","353/15723",1.40578005323381e-05,0.000621354783529344,0.000334427675821938,"LRRK2/TP53/BRCA1/HTT/MYC/LMNA/MDM2/CTNNB1",8
"GO:0060149","negative regulation of post-transcriptional gene silencing","3/50","16/15723",1.64590706096005e-05,0.00069284849613747,0.000372907263936814,"ESR1/ELAVL1/TP53",3
"GO:0060967","negative regulation of gene silencing by RNA","3/50","16/15723",1.64590706096005e-05,0.00069284849613747,0.000372907263936814,"ESR1/ELAVL1/TP53",3
"GO:1900369","negative regulation of post-transcriptional gene silencing by RNA","3/50","16/15723",1.64590706096005e-05,0.00069284849613747,0.000372907263936814,"ESR1/ELAVL1/TP53",3
"GO:0051054","positive regulation of DNA metabolic process","7/50","260/15723",1.69766434848175e-05,0.000695490121786333,0.000374329048639465,"EGFR/BRCA1/MYC/HSP90AA1/HSP90AB1/CDK2/CTNNB1",7
"GO:0031062","positive regulation of histone methylation","4/50","49/15723",1.72524421911425e-05,0.000695490121786333,0.000374329048639465,"BRCA1/LMNA/CTNNB1/SNW1",4
