"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","22/50","170/10546",5.47130528178758e-27,8.69937539804225e-24,6.30063997713222e-24,"HSPA8/HSP90AB1/HSP90AA1/CCT3/CCT2/HSPA5/CCT6A/TCP1/CCT4/CCT7/HSPD1/CDC37/CCT5/HSPA9/CANX/CCT8/HSPB1/DNAJA1/BAG2/RUVBL2/FKBP5/CSNK2A1",22
"GO:0061077","chaperone-mediated protein folding","14/50","60/10546",5.86561432505164e-21,3.44134841272729e-18,2.49244300796005e-18,"HSPA8/CCT3/CCT2/HSPA5/CCT6A/TCP1/CCT4/CCT7/CCT5/HSPA9/CCT8/HSPB1/FKBP5/CSNK2A1",14
"GO:1904874","positive regulation of telomerase RNA localization to Cajal body","10/50","15/10546",6.49311021269299e-21,3.44134841272729e-18,2.49244300796005e-18,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:1904872","regulation of telomerase RNA localization to Cajal body","10/50","18/10546",9.36372871122628e-20,3.72208216271245e-17,2.69576821317936e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:0090670","RNA localization to Cajal body","10/50","19/10546",1.96996137817927e-19,3.9152982391313e-17,2.83570756280016e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:0090671","telomerase RNA localization to Cajal body","10/50","19/10546",1.96996137817927e-19,3.9152982391313e-17,2.83570756280016e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:0090672","telomerase RNA localization","10/50","19/10546",1.96996137817927e-19,3.9152982391313e-17,2.83570756280016e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:0090685","RNA localization to nucleus","10/50","19/10546",1.96996137817927e-19,3.9152982391313e-17,2.83570756280016e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/RUVBL2/RUVBL1",10
"GO:1904851","positive regulation of establishment of protein localization to telomere","8/50","10/10546",6.33837118770094e-18,1.11977890982717e-15,8.11014980040331e-16,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8",8
"GO:0070203","regulation of establishment of protein localization to telomere","8/50","11/10546",2.31583520134041e-17,3.06848164177604e-15,2.22238921953194e-15,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8",8
