"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04151","PI3K-Akt signaling pathway","13/35","349/5730",5.52389980408405e-08,6.06760284640322e-06,3.98648579806075e-06,"4914/1956/7157/672/4609/2885/3320/7534/4193/7532/2335/3326/1017",13
"hsa05215","Prostate cancer","8/35","97/5730",8.1444333508768e-08,6.06760284640322e-06,3.98648579806075e-06,"1956/7157/2885/3320/4193/3326/1017/1499",8
"hsa05224","Breast cancer","9/35","145/5730",1.33817876762847e-07,6.64628787922143e-06,4.36668861015608e-06,"2100/2099/3725/1956/7157/672/4609/2885/1499",9
"hsa04915","Estrogen signaling pathway","8/35","133/5730",9.47524672234387e-07,3.26977204206427e-05,2.14827834625204e-05,"2100/2099/3725/1956/2885/3312/3320/3326",8
"hsa01522","Endocrine resistance","7/35","93/5730",1.09723894029002e-06,3.26977204206427e-05,2.14827834625204e-05,"2100/2099/3725/1956/7157/2885/4193",7
"hsa05160","Hepatitis C","8/35","153/5730",2.74591150828703e-06,6.81901357891279e-05,4.48017140825779e-05,"1956/7157/4609/2885/7534/7532/1017/1499",8
"hsa04110","Cell cycle","7/35","126/5730",8.47767233676408e-06,0.000180453311168264,0.000118559928920159,"7157/4609/7534/4171/4193/7532/1017",7
"hsa05203","Viral carcinogenesis","8/35","183/5730",1.04362650971402e-05,0.000181772138612207,0.000119426413923951,"3725/7157/2885/7534/4193/7532/1017/22938",8
"hsa05210","Colorectal cancer","6/35","86/5730",1.09795251510729e-05,0.000181772138612207,0.000119426413923951,"3725/1956/7157/4609/2885/1499",6
"hsa05207","Chemical carcinogenesis - receptor activation","8/35","189/5730",1.32327141245849e-05,0.000190077494417652,0.000124883129500824,"2100/2099/3725/1956/4609/2885/3320/3326",8
"hsa05418","Fluid shear stress and atherosclerosis","7/35","136/5730",1.40325667019743e-05,0.000190077494417652,0.000124883129500824,"6613/3725/7341/7157/3320/3326/1499",7
"hsa05205","Proteoglycans in cancer","8/35","201/5730",2.07561444736783e-05,0.000257722127214838,0.000169326441758954,"2099/1956/7157/4609/2885/4193/2335/1499",8
"hsa05213","Endometrial cancer","5/35","58/5730",2.29526928789441e-05,0.000263073172227898,0.000172842140707838,"1956/7157/4609/2885/1499",5
"hsa05206","MicroRNAs in cancer","7/35","159/5730",3.87965134660861e-05,0.000412905750460487,0.000271283891153835,"1956/648/7157/672/4609/2885/4193",7
"hsa05216","Thyroid cancer","4/35","37/5730",6.67910772220537e-05,0.000663458033739066,0.000435899661870245,"4914/7157/4609/1499",4
"hsa05219","Bladder cancer","4/35","41/5730",0.000100653655115417,0.000937337163262322,0.000615841442482486,"1956/7157/4609/4193",4
"hsa05226","Gastric cancer","6/35","146/5730",0.000217688862123087,0.00190797885037294,0.00125356434535276,"1956/7157/4609/2885/1017/1499",6
"hsa05161","Hepatitis B","6/35","161/5730",0.000370132819319474,0.00306387722658898,0.00201300305243924,"3725/7157/4609/2885/7534/1017",6
"hsa05202","Transcriptional misregulation in cancer","6/35","175/5730",0.000578431899083793,0.00453612384018343,0.00298028623904669,"4914/648/7157/4609/4193/8350",6
"hsa04919","Thyroid hormone signaling pathway","5/35","121/5730",0.000755540993016105,0.00562878039796998,0.00369817433423673,"2099/7157/4609/4193/1499",5
"hsa05230","Central carbon metabolism in cancer","4/35","70/5730",0.000803749633524573,0.00570279501881721,0.0037468028028965,"4914/1956/7157/4609",4
"hsa05214","Glioma","4/35","73/5730",0.00094181039177332,0.00637862492610112,0.00419083092990042,"1956/7157/2885/4193",4
"hsa05220","Chronic myeloid leukemia","4/35","76/5730",0.00109583176734839,0.00706172339416821,0.00463963458606601,"7157/4609/2885/4193",4
"hsa05169","Epstein-Barr virus infection","6/35","199/5730",0.00113745880174522,0.00706172339416821,0.00463963458606601,"3725/7157/4609/4193/1017/22938",6
"hsa04010","MAPK signaling pathway","7/35","289/5730",0.00153208358531263,0.00912337469701191,0.00599416352399935,"4914/3725/1956/7157/4609/2885/3312",7
"hsa04012","ErbB signaling pathway","4/35","84/5730",0.00159199826927725,0.00912337469701191,0.00599416352399935,"3725/1956/4609/2885",4
"hsa05163","Human cytomegalovirus infection","6/35","220/5730",0.00190737494434793,0.0105258839521423,0.00691562845319132,"1956/7157/4609/2885/4193/1499",6
"hsa04657","IL-17 signaling pathway","4/35","91/5730",0.00213943472404132,0.0113848490672199,0.00747997854646026,"1994/3725/3320/3326",4
"hsa05222","Small cell lung cancer","4/35","92/5730",0.0022270345016898,0.0114423496810959,0.0075177571200418,"7157/4609/2335/1017",4
"hsa05165","Human papillomavirus infection","7/35","327/5730",0.00310551895235576,0.0152147864182358,0.00999629203034923,"1956/7157/2885/4193/2335/1017/1499",7
"hsa05225","Hepatocellular carcinoma","5/35","167/5730",0.00316549247627726,0.0152147864182358,0.00999629203034923,"1956/7157/4609/2885/1499",5
"hsa04722","Neurotrophin signaling pathway","4/35","117/5730",0.00530418708125141,0.0246976210970769,0.0162266249525125,"4914/3725/7157/2885",4
"hsa04510","Focal adhesion","5/35","201/5730",0.00695977884530218,0.0314244559984856,0.0206462338951548,"3725/1956/2885/2335/1499",5
"hsa04068","FoxO signaling pathway","4/35","128/5730",0.00727877682113367,0.0318981690102623,0.0209574688658028,"1956/2885/4193/1017",4
"hsa05211","Renal cell carcinoma","3/35","68/5730",0.00797669721962601,0.0328336127752423,0.0215720663235431,"3725/112399/2885",3
"hsa05417","Lipid and atherosclerosis","5/35","209/5730",0.00818393532864984,0.0328336127752423,0.0215720663235431,"3725/7157/3312/3320/3326",5
"hsa04210","Apoptosis","4/35","134/5730",0.00853752142580876,0.0328336127752423,0.0215720663235431,"4914/3725/7157/4000",4
"hsa04917","Prolactin signaling pathway","3/35","70/5730",0.0086405410362374,0.0328336127752423,0.0215720663235431,"2100/2099/2885",3
"hsa05218","Melanoma","3/35","71/5730",0.00898432711512796,0.0328336127752423,0.0215720663235431,"1956/7157/4193",3
"hsa05162","Measles","4/35","137/5730",0.00921749742688525,0.0328336127752423,0.0215720663235431,"3725/7157/3312/1017",4
"hsa05223","Non-small cell lung cancer","3/35","72/5730",0.00933607764943172,0.0328336127752423,0.0215720663235431,"1956/7157/2885",3
"hsa01524","Platinum drug resistance","3/35","73/5730",0.00969583196047422,0.0328336127752423,0.0215720663235431,"7157/672/4193",3
"hsa04115","p53 signaling pathway","3/35","73/5730",0.00969583196047422,0.0328336127752423,0.0215720663235431,"7157/4193/1017",3
"hsa04612","Antigen processing and presentation","3/35","73/5730",0.00969583196047422,0.0328336127752423,0.0215720663235431,"3312/3320/3326",3
"hsa04550","Signaling pathways regulating pluripotency of stem cells","4/35","141/5730",0.0101782026706061,0.0333374801850919,0.0219031130852247,"648/4609/2885/1499",4
