"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8939211","ESR-mediated signaling","10/46","189/10179",8.76166011832093e-09,6.20325536377122e-06,3.43088164633198e-06,"ESR2/ESR1/JUN/EGFR/XPO1/MYC/MOV10/HSP90AA1/HSP90AB1/H3C1",10
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","9/46","168/10179",4.78527263813619e-08,1.5299460405137e-05,8.46178898410788e-06,"ESR1/SUMO2/BMI1/SUMO1/TP53/BRCA1/MDM2/NPM1/RNF2",9
"R-HSA-2990846","SUMOylation","9/46","174/10179",6.48282220556652e-08,1.5299460405137e-05,8.46178898410788e-06,"ESR1/SUMO2/BMI1/SUMO1/TP53/BRCA1/MDM2/NPM1/RNF2",9
"R-HSA-2559580","Oxidative Stress Induced Senescence","7/46","92/10179",1.57128476061443e-07,2.54106410690839e-05,1.40540566126958e-05,"JUN/BMI1/TP53/MOV10/MDM2/H3C1/RNF2",7
"R-HSA-9006931","Signaling by Nuclear Receptors","10/46","264/10179",2.07897805355507e-07,2.54106410690839e-05,1.40540566126958e-05,"ESR2/ESR1/JUN/EGFR/XPO1/MYC/MOV10/HSP90AA1/HSP90AB1/H3C1",10
"R-HSA-1257604","PIP3 activates AKT signaling","10/46","265/10179",2.15344415839694e-07,2.54106410690839e-05,1.40540566126958e-05,"ESR2/ESR1/JUN/EGFR/BMI1/TP53/GRB2/MOV10/MDM2/RNF2",10
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","12/46","429/10179",2.84509527147473e-07,2.87761064600587e-05,1.59154201652421e-05,"ESR2/ESR1/EGFR/MYC/GRB2/HSP90AA1/LMNA/MDM2/FN1/CTNNB1/NPM1/SNW1",12
"R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","5/46","36/10179",5.11793146594504e-07,4.52936934736136e-05,2.5050927701731e-05,"ESR1/EGFR/SUMO1/MYC/NPM1",5
"R-HSA-2559583","Cellular Senescence","8/46","164/10179",5.93422243352511e-07,4.66825498103975e-05,2.58190730441092e-05,"JUN/BMI1/TP53/MOV10/MDM2/H3C1/CDK2/RNF2",8
"R-HSA-9006925","Intracellular signaling by second messengers","10/46","305/10179",7.88167234575118e-07,5.57564842772783e-05,3.08376630257918e-05,"ESR2/ESR1/JUN/EGFR/BMI1/TP53/GRB2/MOV10/MDM2/RNF2",10
"R-HSA-9018519","Estrogen-dependent gene expression","7/46","118/10179",8.66273060805172e-07,5.57564842772783e-05,3.08376630257918e-05,"ESR1/JUN/MYC/MOV10/HSP90AA1/HSP90AB1/H3C1",7
"R-HSA-3899300","SUMOylation of transcription cofactors","5/46","44/10179",1.43520367833804e-06,8.46770170219443e-05,4.68329621352413e-05,"SUMO2/BMI1/SUMO1/NPM1/RNF2",5
"R-HSA-3232118","SUMOylation of transcription factors","4/46","20/10179",1.67743832392103e-06,9.13558717950836e-05,5.05268871658803e-05,"SUMO2/SUMO1/TP53/MDM2",4
"R-HSA-5688426","Deubiquitination","9/46","268/10179",2.49457101625838e-06,0.000118751422249625,6.56787527161174e-05,"ESR1/TRIM25/CFTR/TP53/BRCA1/MYC/MDM2/TNIP2/NEDD8",9
"R-HSA-9613829","Chaperone Mediated Autophagy","4/46","22/10179",2.51591996291579e-06,0.000118751422249625,6.56787527161174e-05,"CFTR/HSPA8/HSP90AA1/HSP90AB1",4
"R-HSA-157118","Signaling by NOTCH","8/46","203/10179",2.96791417885223e-06,0.000131330202414211,7.26357943771729e-05,"JUN/EGFR/TP53/MYC/MOV10/YWHAZ/H3C1/SNW1",8
"R-HSA-449147","Signaling by Interleukins","11/46","456/10179",4.15548421386054e-06,0.000169445082151861,9.37162809403694e-05,"APP/JUN/TP53/MYC/GRB2/HSPA8/HSP90AA1/YWHAZ/TNIP2/FN1/H3C1",11
"R-HSA-9734009","Defective Intrinsic Pathway for Apoptosis","4/46","25/10179",4.30792581742021e-06,0.000169445082151861,9.37162809403694e-05,"APP/JUN/TP53/LMNA",4
"R-HSA-1912408","Pre-NOTCH Transcription and Translation","5/46","61/10179",7.42533957577541e-06,0.000276691601034157,0.000153031929207116,"JUN/TP53/MOV10/H3C1/SNW1",5
"R-HSA-73894","DNA Repair","9/46","312/10179",8.62884596382335e-06,0.000305461147119346,0.00016894372097591,"TRIM25/SUMO2/RNF4/SUMO1/TP53/BRCA1/COPS5/PCLAF/CDK2",9
"R-HSA-9645723","Diseases of programmed cell death","5/46","71/10179",1.57135242178674e-05,0.00052977024505953,0.000293004060603844,"APP/JUN/TP53/LMNA/H3C1",5
"R-HSA-9009391","Extra-nuclear estrogen signaling","5/46","75/10179",2.05519695701099e-05,0.000661399747983536,0.000365805391391429,"ESR2/ESR1/EGFR/XPO1/HSP90AA1",5
"R-HSA-3108214","SUMOylation of DNA damage response and repair proteins","5/46","76/10179",2.19254920645987e-05,0.00067492384268417,0.000373285265356097,"SUMO2/BMI1/SUMO1/BRCA1/RNF2",5
"R-HSA-1912422","Pre-NOTCH Expression and Processing","5/46","77/10179",2.33694376662978e-05,0.000677825156861735,0.000374889917265188,"JUN/TP53/MOV10/H3C1/SNW1",5
"R-HSA-3371568","Attenuation phase","3/46","13/10179",2.39345041264737e-05,0.000677825156861735,0.000374889917265188,"HSPA8/HSP90AA1/HSP90AB1",3
