"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-156902","Peptide chain elongation","12/37","59/7886",1.50805217680945e-17,1.59099504653397e-15,1.22231597488766e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-192823","Viral mRNA Translation","12/37","59/7886",1.50805217680945e-17,1.59099504653397e-15,1.22231597488766e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-2408557","Selenocysteine synthesis","12/37","61/7886",2.33291305296394e-17,1.64081551391797e-15,1.26059161458403e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-156842","Eukaryotic Translation Elongation","12/37","63/7886",3.55245441341687e-17,1.83965486239836e-15,1.41335419710326e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72764","Eukaryotic Translation Termination","12/37","64/7886",4.35937171184446e-17,1.83965486239836e-15,1.41335419710326e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","12/37","66/7886",6.49604004577765e-17,2.28444074943181e-15,1.75507046850835e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","12/37","71/7886",1.66464978242988e-16,5.0177300584672e-15,3.85497844352182e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72689","Formation of a pool of free 40S subunits","12/37","72/7886",1.99169049671435e-16,5.25308368508409e-15,4.03579390123697e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","12/37","75/7886",3.35681979118576e-16,7.86987751044662e-15,6.0462017291533e-15,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","12/37","82/7886",1.04277966131677e-15,2.1371244488116e-14,1.64189156955344e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-2408522","Selenoamino acid metabolism","12/37","83/7886",1.21542622681229e-15,2.1371244488116e-14,1.64189156955344e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","12/37","83/7886",1.21542622681229e-15,2.1371244488116e-14,1.64189156955344e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-927802","Nonsense-Mediated Decay (NMD)","12/37","86/7886",1.90189413499108e-15,2.8664261605937e-14,2.20219320893704e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","12/37","86/7886",1.90189413499108e-15,2.8664261605937e-14,2.20219320893704e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72613","Eukaryotic Translation Initiation","12/37","89/7886",2.92657512424389e-15,3.85942094509663e-14,2.96508269166815e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72737","Cap-dependent Translation Initiation","12/37","89/7886",2.92657512424389e-15,3.85942094509663e-14,2.96508269166815e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-168273","Influenza Viral RNA Transcription and Replication","12/37","96/7886",7.54352322370664e-15,9.36284353060059e-14,7.19320480774503e-14,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-168255","Influenza Infection","12/37","116/7886",7.82807516758961e-14,9.17624366867449e-13,7.04984547256609e-13,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-9711097","Cellular response to starvation","12/37","123/7886",1.60338267641967e-13,1.780598656445e-12,1.36798300370431e-12,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","12/37","133/7886",4.15096133941164e-13,4.37926421307929e-12,3.36446340141786e-12,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","12/37","138/7886",6.49091446220773e-13,6.52182357869444e-12,5.01053046205509e-12,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-8868773","rRNA processing in the nucleus and cytosol","12/37","141/7886",8.41765708455478e-13,8.07329838564118e-12,6.20248416756668e-12,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72312","rRNA processing","12/37","148/7886",1.50944849423469e-12,1.38475492297182e-11,1.06386758861392e-11,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-72766","Translation","13/37","210/7886",4.7438894292329e-12,4.17066945653393e-11,3.20420601799065e-11,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/MRPL58/RPL7A/RPL30/RPS13/RPS11/RPS9",13
"R-HSA-376176","Signaling by ROBO receptors","12/37","182/7886",1.78032944048819e-11,1.50259804777203e-10,1.15440308983234e-10,"RPL6/RPL18/RPL23/RPS4X/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",12
"R-HSA-71291","Metabolism of amino acids and derivatives","13/37","273/7886",1.30784981836156e-10,1.0613704295165e-09,8.15420534525021e-10,"RPL6/RPL18/RPL23/RPS4X/PDHA1/RPL5/RPL14/RPL8/RPL7A/RPL30/RPS13/RPS11/RPS9",13
