"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-389957","Prefoldin mediated transfer of substrate  to CCT/TriC","12/48","26/7112",1.81901212585166e-20,1.26239441534105e-17,8.76955319621114e-18,"CCT3/CCT2/CCT6A/TCP1/TUBA4A/CCT4/CCT7/CCT5/CCT8/TUBB3/ACTB/TUBA1C",12
"R-HSA-390450","Folding of actin by CCT/TriC","9/48","10/7112",1.3075122864952e-19,3.69844720350885e-17,2.56922314455795e-17,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/ACTB",9
"R-HSA-389958","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","12/48","30/7112",1.59875239344763e-19,3.69844720350885e-17,2.56922314455795e-17,"CCT3/CCT2/CCT6A/TCP1/TUBA4A/CCT4/CCT7/CCT5/CCT8/TUBB3/ACTB/TUBA1C",12
"R-HSA-389960","Formation of tubulin folding intermediates by CCT/TriC","11/48","23/7112",4.92787640584142e-19,8.54986556413487e-17,5.9393878786194e-17,"CCT3/CCT2/CCT6A/TCP1/TUBA4A/CCT4/CCT7/CCT5/CCT8/TUBB3/TUBA1C",11
"R-HSA-390466","Chaperonin-mediated protein folding","13/48","77/7112",1.39570423385734e-15,1.93723747659399e-13,1.34575271390876e-13,"CCT3/CCT2/CCT6A/TCP1/TUBA4A/CCT4/CCT7/CCT5/CCT8/TUBB3/ACTB/CSNK2A1/TUBA1C",13
"R-HSA-391251","Protein folding","13/48","83/7112",3.90796760522689e-15,4.5202158633791e-13,3.14008625121739e-13,"CCT3/CCT2/CCT6A/TCP1/TUBA4A/CCT4/CCT7/CCT5/CCT8/TUBB3/ACTB/CSNK2A1/TUBA1C",13
"R-HSA-6814122","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding","9/48","29/7112",1.19175841591426e-13,1.18154334377785e-11,8.20790006749973e-12,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8/CSNK2A1",9
"R-HSA-1852241","Organelle biogenesis and maintenance","16/48","269/7112",8.56327975781771e-12,6.81649526596377e-10,4.73525683575217e-10,"HSP90AA1/CCT3/CCT2/TCP1/TUBA4A/CCT4/YWHAG/CCT5/HSPA9/CCT8/TUBB3/YWHAE/TUBB/PPP2R1A/ATP5F1B/TUBA1C",16
"R-HSA-5617833","Cilium Assembly","14/48","185/7112",8.83983535931901e-12,6.81649526596377e-10,4.73525683575217e-10,"HSP90AA1/CCT3/CCT2/TCP1/TUBA4A/CCT4/YWHAG/CCT5/CCT8/TUBB3/YWHAE/TUBB/PPP2R1A/TUBA1C",14
"R-HSA-1445148","Translocation of SLC2A4 (GLUT4) to the plasma membrane","10/48","65/7112",9.87095307292885e-12,6.85044143261262e-10,4.75883842884359e-10,"TUBA4A/YWHAG/TUBB3/YWHAE/YWHAZ/YWHAB/ACTB/YWHAH/YWHAQ/TUBA1C",10
"R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","6/48","12/7112",6.13243530361983e-11,3.54833881201148e-09,2.46494642181292e-09,"YWHAG/YWHAE/YWHAZ/YWHAB/YWHAH/YWHAQ",6
"R-HSA-390471","Association of TriC/CCT with target proteins during biosynthesis","8/48","36/7112",6.13545615909766e-11,3.54833881201148e-09,2.46494642181292e-09,"CCT3/CCT2/CCT6A/TCP1/CCT4/CCT7/CCT5/CCT8",8
"R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","6/48","13/7112",1.13311053556555e-10,6.04906701294226e-09,4.20214271489087e-09,"YWHAG/YWHAE/YWHAZ/YWHAB/YWHAH/YWHAQ",6
