"bait_uniprot","bait_symbol","bait_usage","degree_bait","normaliz_bait","degree","normaliz_degree"
"Q15004","PCLAF",1,2,2,805,805
"P14866","HNRNPL",2,5,2.5,1523,761.5
"Q7L2J0","MEPCE",1,2,2,740,740
"O75147","OBSL1",1,1,1,619,619
"Q9H0W5","CCDC8",1,1,1,546,546
"A8MQ03","CYSRT1",1,66,66,490,490
"P78317","RNF4",3,3,1,1291,430.333333333333
"Q15717","ELAVL1",4,9,2.25,1703,425.75
"Q14258","TRIM25",5,5,1,2062,412.4
"Q86X19","TMEM17",1,400,400,406,406
"Q9BXK1","KLF16",1,380,380,406,406
"Q02878","RPL6",1,31,31,390,390
"Q96T52","IMMP2L",1,375,375,381,381
"Q14142","TRIM14",1,7,7,362,362
"P05141","SLC25A5",1,1,1,355,355
"Q86UK7","ZNF598",1,3,3,349,349
"Q9HCE1","MOV10",3,15,5,1020,340
"Q9NRC8","SIRT7",2,2,1,669,334.5
"Q15029","EFTUD2",4,8,2,1299,324.75
"Q07020","RPL18",1,85,85,320,320
"Q16778","H2BC21",1,1,1,320,320
"P62829","RPL23",1,1,1,319,319
"O15205","UBD",2,2,1,636,318
"Q14999","CUL7",2,2,1,636,318
"P62701","RPS4X",1,2,2,312,312
"Q9UQ35","SRRM2",1,4,4,311,311
"P08559","PDHA1",1,235,235,311,311
"Q9H6Z9","EGLN3",4,223,55.75,1242,310.5
"P50990","CCT8",1,7,7,303,303
"O95758","PTBP3",1,274,274,298,298
"P46777","RPL5",1,1,1,298,298
"P50914","RPL14",1,59,59,296,296
"Q6NUN9","ZNF746",1,1,1,295,295
"Q9P2P5","HECW2",1,1,1,294,294
"P31689","DNAJA1",1,4,4,292,292
"Q02539","H1-1",1,55,55,291,291
"Q8TDD2","SP7",1,280,280,290,290
"Q9UGI8","TES",1,2,2,286,286
"P62917","RPL8",1,23,23,284,284
"Q14197","MRPL58",1,214,214,280,280
"O75031","HSF2BP",1,68,68,279,279
"Q6ZU80","CEP128",1,268,268,278,278
"P62424","RPL7A",1,1,1,277,277
"P62888","RPL30",1,71,71,276,276
"P62277","RPS13",1,1,1,275,275
"P62280","RPS11",1,4,4,274,274
"P60369","KRTAP10-3",1,4,4,271,271
"Q00325","SLC25A3",1,1,1,271,271
"Q8NCK7","SLC16A11",2,530,265,530,265
"P46781","RPS9",1,24,24,263,263
"P68371","TUBB4B",1,1,1,254,254
"O00159","MYO1C",1,109,109,253,253
"O76011","LOC100653049",1,21,21,253,253
"P61221","ABCE1",1,1,1,253,253
"Q9C0B5","ZDHHC5",2,470,235,491,245.5
"O14980","XPO1",5,11,2.2,1226,245.2
"Q9BV73","CEP250",1,1,1,244,244
"P30050","RPL12",1,1,1,244,244
"Q8IWL3","HSCB",3,726,242,730,243.333333333333
"Q96LU5","IMMP1L",1,235,235,237,237
"P68133","ACTA1",1,7,7,225,225
"P50897","PPT1",1,7,7,225,225
"P60866","RPS20",1,1,1,224,224
"Q7Z3S9","NOTCH2NLA",1,3,3,224,224
"P05387","RPLP2",1,1,1,223,223
"P19320","VCAM1",3,621,207,666,222
"Q4G0J3","LARP7",4,26,6.5,886,221.5
"Q9BRS2","RIOK1",2,9,4.5,442,221
"Q562R1","ACTBL2",1,21,21,220,220
"Q5JX71","FAM209A",1,1,1,220,220
"Q9H9S0","NANOG",1,1,1,220,220
"Q6IQ23","PLEKHA7",3,588,196,655,218.333333333333
"P61353","RPL27",1,2,2,216,216
"P45880","VDAC2",1,1,1,216,216
"P04629","NTRK1",9,11,1.22222222222222,1938,215.333333333333
"Q14839","CHD4",3,18,6,643,214.333333333333
"P29401","TKT",1,28,28,214,214
"Q7KZN9","COX15",1,176,176,214,214
"P42766","RPL35",1,2,2,213,213
"P62841","RPS15",1,1,1,211,211
"P46778","RPL21",1,3,3,210,210
"P0DPK4",NA,1,2,2,210,210
"P09622","DLD",2,316,158,408,204
"Q92499","DDX1",1,1,1,204,204
"P46087","NOP2",1,5,5,203,203
"Q99581","FEV",1,201,201,201,201
"P34931","HSPA1L",1,2,2,201,201
"Q01082","SPTBN1",1,1,1,201,201
"P62987","UBA52",1,6,6,198,198
"Q6P2Q9","PRPF8",3,13,4.33333333333333,591,197
"Q5UIP0","RIF1",1,9,9,197,197
"Q92598","HSPH1",1,1,1,193,193
"P34947","GRK5",1,1,1,192,192
"P61604","HSPE1",1,9,9,191,191
"P06733","ENO1",2,29,14.5,379,189.5
"Q92731","ESR2",13,452,34.7692307692308,2459,189.153846153846
"O95714","HERC2",2,64,32,376,188
"Q99460","PSMD1",1,1,1,188,188
"Q9C002","C15orf48",1,174,174,187,187
