"prey_uniprot","prey_symbol","degree_prey"
"P11142","HSPA8","256"
"P08238","HSP90AB1","207"
"P07900","HSP90AA1","204"
"P49368","CCT3","200"
"P78371","CCT2","198"
"P11021","HSPA5","188"
"P40227","CCT6A","175"
"P17987","TCP1","170"
"P68366","TUBA4A","168"
"Q07021","C1QBP","164"
"P50991","CCT4","163"
"Q99832","CCT7","163"
"P61981","YWHAG","163"
"P10809","HSPD1","152"
"Q16543","CDC37","152"
"P48643","CCT5","147"
"P38646","HSPA9","144"
"P27824","CANX","142"
"P50990","CCT8","142"
"P0CG47","UBB","140"
"Q562R1","ACTBL2","140"
"P04792","HSPB1","139"
"Q13509","TUBB3","131"
"P62258","YWHAE","123"
"P63104","YWHAZ","119"
"P05141","SLC25A5","116"
"P07437","TUBB","115"
"P31689","DNAJA1","115"
"P78527","PRKDC","112"
"O95816","BAG2","111"
"Q9UNX3","RPL26L1","111"
"P31946","YWHAB","110"
"P60709","ACTB","110"
"P30153","PPP2R1A","108"
"P06576","ATP5F1B","106"
"Q9Y230","RUVBL2","105"
"P27708","CAD","105"
"Q04917","YWHAH","103"
"Q13451","FKBP5","102"
"P12236","SLC25A6","102"
"O15027","SEC16A","101"
"P61247","RPS3A","100"
"P68400","CSNK2A1","99"
"Q7L2E3","DHX30","99"
"P27348","YWHAQ","98"
"Q9Y265","RUVBL1","96"
"Q13263","TRIM28","96"
"O75643","SNRNP200","96"
"Q9BQE3","TUBA1C","93"
"Q6PKG0","LARP1","92"
"Q9UQ35","SRRM2","92"
"Q00610","CLTC","91"
"P40939","HADHA","91"
"Q04837","SSBP1","91"
"Q93009","USP7","90"
"Q16531","DDB1","89"
"P39023","RPL3","89"
"Q92616","GCN1","88"
"Q14257","RCN2","88"
"P11940","PABPC1","88"
"P34897","SHMT2","88"
"Q05639","EEF1A2","87"
"P23396","RPS3","87"
"P62829","RPL23","86"
"Q71U36","TUBA1A","86"
"P17844","DDX5","86"
"Q92769","HDAC2","86"
"P62879","GNB2","85"
"Q3ZCM7","TUBB8","84"
"P17066","HSPA6","83"
"Q9BZE4","GTPBP4","83"
"Q9HCE1","MOV10","83"
"Q9Y2W1","THRAP3","83"
"Q00325","SLC25A3","82"
"P06748","NPM1","81"
"Q9NVI7","ATAD3A","81"
"P31948","STIP1","81"
"Q8N163","CCAR2","80"
"P52272","HNRNPM","80"
"P52907","CAPZA1","80"
"Q9UNE7","STUB1","80"
"Q9NR30","DDX21","80"
"P63167","DYNLL1","80"
"P62736","ACTA2","80"
"O00159","MYO1C","79"
"P67809","YBX1","79"
"O95071","UBR5","79"
"P15924","DSP","78"
"O95831","AIFM1","78"
"P07237","P4HB","78"
"O75891","ALDH1L1","78"
"O75533","SF3B1","77"
"Q92900","UPF1","77"
"P49327","FASN","76"
"P07910","HNRNPC","76"
"P62424","RPL7A","76"
"O60884","DNAJA2","76"
"Q08380","LGALS3BP","75"
"Q08211","DHX9","75"
"P36578","RPL4","75"
"O60832","DKC1","75"
"P68371","TUBB4B","75"
"P82673","MRPS35","75"
"Q3ZCQ8","TIMM50","74"
"Q13813","SPTAN1","74"
"P46087","NOP2","74"
"Q99623","PHB2","74"
"P62750","RPL23A","74"
"P49411","TUFM","74"
"P67870","CSNK2B","74"
"O95782","AP2A1","74"
"P22626","HNRNPA2B1","74"
"P04350","TUBB4A","73"
"Q00839","HNRNPU","73"
"P21333","FLNA","73"
"Q16643","DBN1","73"
"P62136","PPP1CA","73"
"Q9BQG0","MYBBP1A","73"
"P68363","TUBA1B","73"
"P82933","MRPS9","73"
"P67775","PPP2CA","73"
"P19338","NCL","72"
"P47756","CAPZB","72"
"Q13200","PSMD2","72"
"Q96EY7","PTCD3","72"
"P34931","HSPA1L","71"
"P04406","GAPDH","71"
"P55072","VCP","71"
"Q14204","DYNC1H1","71"
"O43795","MYO1B","71"
"Q09028","RBBP4","71"
"P04439","HLA-A","71"
"Q9NW13","RBM28","71"
"P48047","ATP5PO","70"
"P55084","HADHB","70"
"P62280","RPS11","70"
"P25705","ATP5F1A","70"
"Q9GZR7","DDX24","70"
"Q92665","MRPS31","70"
"Q96PK6","RBM14","70"
"P42704","LRPPRC","69"
"Q9UHB6","LIMA1","69"
"P62249","RPS16","69"
"P62277","RPS13","69"
"Q14974","KPNB1","69"
"P07951","TPM2","69"
"P13639","EEF2","69"
"P62316","SNRPD2","69"
"P50402","EMD","69"
"P25205","MCM3","68"
"P09874","PARP1","68"
"P62241","RPS8","68"
"Q9Y2Z0","SUGT1","68"
"Q15029","EFTUD2","68"
"P09651","HNRNPA1","68"
"P35232","PHB1","68"
"Q9Y3U8","RPL36","68"
"Q8TDN6","BRIX1","68"
"P62263","RPS14","67"
"P36776","LONP1","67"
"Q12905","ILF2","67"
"P61962","DCAF7","67"
"Q15149","PLEC","67"
"Q07065","CKAP4","67"
"Q12906","ILF3","67"
"Q02878","RPL6","66"
"P19784","CSNK2A2","66"
"O60506","SYNCRIP","66"
"Q15459","SF3A1","66"
"Q5T4S7","UBR4","66"
"Q92552","MRPS27","66"
