"uniprot","symbol","degree_bait","degree_prey","total_degree"
"A0A075B6P5",NA,"0","1",1
"A0A075B6R9",NA,"0","1",1
"A0A075B6S6",NA,"0","1",1
"A0A087WXM9","MEIKIN","0","2",2
"A0A0B4J2D5",NA,"0","1",1
"A0A0B4J2F0","PIGBOS1","3","3",3
"A0A0B4J2F2","LOC102724428","4","2",6
"A0A0K2S4Q6","CD300H","2","0",2
"A0A0U1RQF7","DPEP2NB","0","8",8
"A0A0U1RRE5","NBDY","16","2",16
"A0A1B0GUV7","TEX48","1","2",3
"A0A455ZAR2",NA,"10","1",10
"A0AUZ9","KANSL1L","0","2",2
"A0AV02","SLC12A8","2","1",3
"A0AV96","RBM47","7","4",11
"A0AVF1","TTC26","9","17",18
"A0AVI4","TMEM129","0","6",6
"A0AVK6","E2F8","7","17",23
"A0AVT1","UBA6","4","12",16
"A0FGR8","ESYT2","4","21",21
"A0FGR9","ESYT3","4","4",4
"A0JLT2","MED19","117","33",132
"A0JNW5","UHRF1BP1L","0","15",15
"A0JP26","POTEB3","24","8",32
"A0M8Q6",NA,"0","3",3
"A0MZ66","SHTN1","6","18",21
"A0PJW6","TMEM223","10","21",31
"A0PJW8","DAPL1","0","7",7
"A0PJX0","CIB4","1","7",8
"A0PJX2","TLDC2","5","0",5
"A0PJX4","SHISA3","1","5",6
"A0PJY2","FEZF1","6","1",7
"A0PJZ3","GXYLT2","0","8",8
"A0PK00","TMEM120B","52","12",64
"A0PK05","TMEM72","8","2",10
"A0PK11","CLRN2","12","0",12
"A1A4S6","ARHGAP10","1","8",8
"A1A4V9","CFAP119","1","0",1
"A1A4Y4","IRGM","0","1",1
"A1A519","FAM170A","12","0",12
"A1A580","KRTAP23-1","6","1",7
"A1A5B4","ANO9","1","0",1
"A1A5C7","SLC22A23","10","13",23
"A1A5D9","BICDL2","0","6",6
"A1E959","ODAM","3","9",12
"A1KXE4","FAM168B","3","51",54
"A1KZ92","PXDNL","0","3",3
"A1L020","MEX3A","0","2",2
"A1L0T0","ILVBL","13","32",44
"A1L157","TSPAN11","11","0",11
"A1L162","ERICH2","0","4",4
"A1L168",NA,"0","8",8
"A1L170","C1orf226","0","7",7
"A1L188","NDUFAF8","23","2",24
"A1L190","SYCE3","40","11",51
"A1L390","PLEKHG3","7","22",29
"A1L3X0","ELOVL7","0","11",11
"A1L3X4",NA,"3","0",3
"A1L429","GAGE12C","1","0",1
"A1L443","NUTM2F","24","0",24
"A1L453","PRSS38","0","1",1
"A1L4H1","SSC5D","16","4",20
"A1L4K1","FSD2","1","87",87
"A1X283","SH3PXD2B","2","8",8
"A1XBS5","CIBAR1","3","3",6
"A1YPR0","ZBTB7C","0","3",3
"A1Z1Q3","MACROD2","0","1",1
"A2A2V5","SERTM1","12","1",13
"A2A2Y4","FRMD3","11","12",23
"A2A368","MAGEB16","0","1",1
"A2A3K4","PTPDC1","18","0",18
"A2A3N6",NA,"0","5",5
"A2AJT9","BCLAF3","0","2",2
"A2IDD5","CCDC78","1","1",2
"A2NJV5",NA,"0","1",1
"A2RRD8","ZNF320","2","1",3
"A2RRH5","WDR27","1","0",1
"A2RRL7","TMEM213","5","0",5
"A2RRP1","NBAS","6","22",23
"A2RTX5","TARS3","2","32",33
"A2RTY3","HEATR9","0","1",1
"A2RU14","TMEM218","65","3",65
"A2RU30","TESPA1","13","0",13
"A2RU48","SMCO3","2","4",6
"A2RU49","HYKK","0","1",1
"A2RU54","HMX2","0","2",2
"A2RU67","FAM234B","33","6",38
"A2RUB1","MEIOC","0","3",3
"A2RUC4","TYW5","1","7",8
"A2RUH7","MYBPHL","3","14",17
"A2RUQ5",NA,"1","0",1
"A2RUR9","CCDC144A","0","1",1
"A2RUS2","DENND3","0","3",3
"A2RUT3","TMEM89","1","0",1
"A2RUU4","CLPSL1","6","0",6
"A2VCK2","DCDC2B","16","2",18
"A2VDF0","FUOM","13","2",15
"A2VDJ0","TMEM131L","0","5",5
"A2VEC9",NA,"0","1",1
"A3KMH1","VWA8","0","28",28
"A3KN83","SBNO1","0","2",2
"A4D0S4","LAMB4","0","1",1
"A4D161","FAM221A","12","5",16
"A4D1B5","GSAP","1","1",1
"A4D1E9","GTPBP10","4","16",20
"A4D1P6","WDR91","1","10",10
"A4D1S0","KLRG2","39","8",47
"A4D1S5","RAB19","1","4",5
"A4D1T9","PRSS37","11","2",13
"A4D1U4","DENND11","0","5",5
"A4D256",NA,"0","1",1
"A4D2B0","MBLAC1","2","1",3
"A4D2P6","GRID2IP","0","3",3
"A4FU01","MTMR11","14","1",15
"A4FU49","SH3D21","0","1",1
"A4GXA9","EME2","0","2",2
"A4QMS7","C5orf49","3","1",4
"A4QPB2",NA,"0","2",2
"A4UGR9","XIRP2","0","3",3
"A5A3E0","POTEF","0","61",61
"A5D8T8","CLEC18A","10","1",11
"A5D8V6","VPS37C","75","19",89
"A5D8V7","ODAD3","28","12",38
"A5LHX3","PSMB11","0","5",5
"A5PKW4","PSD","5","2",7
"A5PL33","KRBA1","12","12",24
"A5PLK6","RGSL1","0","1",1
"A5PLL7","PEDS1","0","2",2
"A5PLN7","FAM149A","0","1",1
"A5PLN9","TRAPPC13","5","13",16
"A5X5Y0","HTR3E","4","1",4
"A5YKK6","CNOT1","35","55",79
"A5YM69","ARHGEF35","4","2",6
"A5YM72","CARNS1","1","2",3
"A6BM72","MEGF11","0","3",3
"A6H8Y1","BDP1","0","8",8
"A6H8Z2","FAM221B","19","2",21
"A6NC98","CCDC88B","1","40",41
"A6NCE7","MAP1LC3B2","0","10",10
"A6NCF5","KLHL33","12","0",12
"A6NCL1","GMNC","0","1",1
"A6NCN2",NA,"0","1",1
"A6NCS6","C2orf72","0","1",1
"A6ND36","FAM83G","5","9",13
"A6ND48","OR14I1","1","0",1
"A6ND91","ASPDH","1","1",2
"A6NDB9","PALM3","1","6",6
"A6NDG6","PGP","1","3",4
"A6NDK9","GOLGA6C","0","1",1
"A6NDP7","MYADML2","11","0",11
"A6NDR6",NA,"0","2",2
"A6NDU8","RIMOC1","0","2",2
"A6NE01","FAM186A","0","1",1
"A6NE52","WDR97","1","0",1
"A6NE82","MBD3L3","1","0",1
"A6NED2","RCCD1","20","10",29
