"uniprot","symbol","degree_bait","degree_prey","total_degree"
"A0A075B6P5",NA,"0","1",1
"A0A075B6R9",NA,"0","1",1
"A0A075B6S6",NA,"0","1",1
"A0A0B4J2F0","PIGBOS1","3","3",3
"A0A0K2S4Q6","CD300H","2","0",2
"A0A0U1RRE5","NBDY","16","2",16
"A0A455ZAR2",NA,"10","1",10
"A0AV02","SLC12A8","1","1",2
"A0AV96","RBM47","0","2",2
"A0AVF1","TTC26","9","17",18
"A0AVK6","E2F8","2","2",3
"A0AVT1","UBA6","3","11",14
"A0FGR8","ESYT2","4","21",21
"A0FGR9","ESYT3","4","4",4
"A0JLT2","MED19","114","20",117
"A0JNW5","UHRF1BP1L","0","12",12
"A0JP26","POTEB3","24","1",25
"A0M8Q6",NA,"0","3",3
"A0MZ66","SHTN1","0","7",7
"A0PJW6","TMEM223","10","21",31
"A0PJX0","CIB4","1","0",1
"A0PJX2","TLDC2","5","0",5
"A0PJY2","FEZF1","0","1",1
"A0PJZ3","GXYLT2","0","8",8
"A0PK00","TMEM120B","0","12",12
"A1A4S6","ARHGAP10","1","6",6
"A1A4V9","CFAP119","1","0",1
"A1A519","FAM170A","12","0",12
"A1A5C7","SLC22A23","6","4",10
"A1E959","ODAM","2","0",2
"A1KXE4","FAM168B","0","4",4
"A1KZ92","PXDNL","0","3",3
"A1L020","MEX3A","0","2",2
"A1L0T0","ILVBL","11","31",41
"A1L157","TSPAN11","11","0",11
"A1L170","C1orf226","0","7",7
"A1L188","NDUFAF8","23","2",24
"A1L190","SYCE3","40","0",40
"A1L390","PLEKHG3","7","22",29
"A1L443","NUTM2F","24","0",24
"A1L453","PRSS38","0","1",1
"A1L4H1","SSC5D","2","1",3
"A1L4K1","FSD2","0","1",1
"A1X283","SH3PXD2B","2","8",8
"A1XBS5","CIBAR1","0","2",2
"A1YPR0","ZBTB7C","0","2",2
"A1Z1Q3","MACROD2","0","1",1
"A2A2Y4","FRMD3","11","0",11
"A2A368","MAGEB16","0","1",1
"A2A3K4","PTPDC1","15","0",15
"A2A3N6",NA,"0","5",5
"A2AJT9","BCLAF3","0","1",1
"A2NJV5",NA,"0","1",1
"A2RRD8","ZNF320","0","1",1
"A2RRL7","TMEM213","5","0",5
"A2RRP1","NBAS","6","20",21
"A2RTX5","TARS3","0","27",27
"A2RU30","TESPA1","13","0",13
"A2RU48","SMCO3","1","2",3
"A2RU49","HYKK","0","1",1
"A2RU54","HMX2","0","2",2
"A2RU67","FAM234B","33","6",38
"A2RUB1","MEIOC","0","3",3
"A2RUC4","TYW5","1","7",8
"A2RUH7","MYBPHL","2","0",2
"A2RUQ5",NA,"1","0",1
"A2RUR9","CCDC144A","0","1",1
"A2RUS2","DENND3","0","3",3
"A2RUT3","TMEM89","1","0",1
"A2RUU4","CLPSL1","6","0",6
"A2VCK2","DCDC2B","7","0",7
"A2VDF0","FUOM","13","2",15
"A2VDJ0","TMEM131L","0","5",5
"A2VEC9",NA,"0","1",1
"A3KMH1","VWA8","0","27",27
"A3KN83","SBNO1","0","1",1
"A4D0S4","LAMB4","0","1",1
"A4D161","FAM221A","3","1",4
"A4D1B5","GSAP","1","1",1
"A4D1E9","GTPBP10","1","16",17
"A4D1P6","WDR91","1","6",6
"A4D1S0","KLRG2","39","8",47
"A4D1S5","RAB19","0","2",2
"A4D1T9","PRSS37","11","2",13
"A4D1U4","DENND11","0","5",5
"A4D256",NA,"0","1",1
"A4D2B0","MBLAC1","2","1",3
"A4D2P6","GRID2IP","0","3",3
"A4FU01","MTMR11","14","0",14
"A4FU49","SH3D21","0","1",1
"A4GXA9","EME2","0","2",2
"A4UGR9","XIRP2","0","2",2
"A5A3E0","POTEF","0","60",60
"A5D8T8","CLEC18A","4","1",5
"A5D8V6","VPS37C","0","4",4
"A5D8V7","ODAD3","19","2",21
"A5PKW4","PSD","1","1",2
"A5PL33","KRBA1","11","12",23
"A5PLK6","RGSL1","0","1",1
"A5PLN9","TRAPPC13","5","13",16
"A5X5Y0","HTR3E","4","1",4
"A5YKK6","CNOT1","32","55",76
"A5YM69","ARHGEF35","4","2",6
"A5YM72","CARNS1","0","2",2
"A6H8Y1","BDP1","0","8",8
"A6H8Z2","FAM221B","7","0",7
"A6NCE7","MAP1LC3B2","0","10",10
"A6NCF5","KLHL33","12","0",12
"A6NCN2",NA,"0","1",1
"A6NCS6","C2orf72","0","1",1
"A6ND36","FAM83G","5","9",13
"A6ND91","ASPDH","1","1",2
"A6NDB9","PALM3","1","6",6
"A6NDG6","PGP","1","3",4
"A6NDR6",NA,"0","2",2
"A6NDU8","RIMOC1","0","2",2
"A6NE01","FAM186A","0","1",1
"A6NED2","RCCD1","20","10",29
"A6NEE1","PLEKHD1","0","1",1
"A6NFI3","ZNF316","0","9",9
"A6NFN3","RBFOX3","0","4",4
"A6NFQ2","TCAF2","0","19",19
"A6NFT4","CFAP73","0","1",1
"A6NFY4","NEMP2","0","1",1
"A6NFY7","SDHAF1","4","2",4
"A6NGB9","WIPF3","0","3",3
"A6NGE4","DCAF8L1","0","1",1
"A6NGG8","PCARE","5","0",5
"A6NGR9","MROH6","0","1",1
"A6NGU5",NA,"0","2",2
"A6NHC0","CAPN8","4","0",4
"A6NHG4","DDTL","0","1",1
"A6NHL2","TUBAL3","4","13",17
"A6NHQ2",NA,"0","5",5
"A6NHQ4","EPOP","19","7",19
"A6NHR9","SMCHD1","1","13",13
"A6NHX0","CASTOR2","0","1",1
"A6NI28","ARHGAP42","3","3",6
"A6NI72",NA,"1","0",1
"A6NIE6",NA,"0","1",1
"A6NIH7","UNC119B","0","7",7
"A6NIJ9","OR6C70","0","1",1
"A6NIR3","AGAP5","0","1",1
"A6NIV6","LRRIQ4","0","1",1
"A6NIX2","WTIP","0","7",7
"A6NIZ1",NA,"0","3",3
"A6NJ78","METTL15","1","17",18
"A6NK44","GLOD5","0","1",1
"A6NK59","ASB14","1","0",1
"A6NK89","RASSF10","38","0",38
"A6NK97",NA,"0","1",1
"A6NKD9","CCDC85C","0","28",28
"A6NKF1",NA,"0","1",1
"A6NKF2","ARID3C","0","1",1
"A6NKG5","RTL1","0","1",1
"A6NKL6","TMEM200C","0","1",1
"A6NKN8","PCP4L1","0","1",1
