"uniprot","symbol","degree_bait","degree_prey","total_degree"
"A0A087WXM9","MEIKIN","0","2",2
"A0A0B4J2D5",NA,"0","1",1
"A0A0B4J2F2","LOC102724428","4","2",6
"A0A0U1RQF7","DPEP2NB","0","8",8
"A0A1B0GUV7","TEX48","1","2",3
"A0AUZ9","KANSL1L","0","2",2
"A0AV02","SLC12A8","1","0",1
"A0AV96","RBM47","7","2",9
"A0AVI4","TMEM129","0","6",6
"A0AVK6","E2F8","5","15",20
"A0AVT1","UBA6","1","1",2
"A0JLT2","MED19","3","13",16
"A0JNW5","UHRF1BP1L","0","3",3
"A0JP26","POTEB3","0","7",7
"A0MZ66","SHTN1","6","11",15
"A0PJW8","DAPL1","0","7",7
"A0PJX0","CIB4","0","7",7
"A0PJX4","SHISA3","1","5",6
"A0PJY2","FEZF1","6","0",6
"A0PK00","TMEM120B","52","0",52
"A0PK05","TMEM72","8","2",10
"A0PK11","CLRN2","12","0",12
"A1A4S6","ARHGAP10","0","3",3
"A1A4Y4","IRGM","0","1",1
"A1A580","KRTAP23-1","6","1",7
"A1A5B4","ANO9","1","0",1
"A1A5C7","SLC22A23","4","9",13
"A1A5D9","BICDL2","0","6",6
"A1E959","ODAM","1","9",10
"A1KXE4","FAM168B","3","48",51
"A1L0T0","ILVBL","2","1",3
"A1L162","ERICH2","0","4",4
"A1L168",NA,"0","8",8
"A1L190","SYCE3","0","11",11
"A1L3X0","ELOVL7","0","11",11
"A1L3X4",NA,"3","0",3
"A1L429","GAGE12C","1","0",1
"A1L4H1","SSC5D","14","3",17
"A1L4K1","FSD2","1","86",86
"A1XBS5","CIBAR1","3","1",4
"A1YPR0","ZBTB7C","0","1",1
"A2A2V5","SERTM1","12","1",13
"A2A2Y4","FRMD3","0","12",12
"A2A3K4","PTPDC1","4","0",4
"A2AJT9","BCLAF3","0","1",1
"A2IDD5","CCDC78","1","1",2
"A2RRD8","ZNF320","2","0",2
"A2RRH5","WDR27","1","0",1
"A2RRP1","NBAS","0","2",2
"A2RTX5","TARS3","2","5",6
"A2RTY3","HEATR9","0","1",1
"A2RU14","TMEM218","65","3",65
"A2RU48","SMCO3","1","2",3
"A2RUH7","MYBPHL","1","14",15
"A2VCK2","DCDC2B","9","2",11
"A3KMH1","VWA8","0","1",1
"A3KN83","SBNO1","0","1",1
"A4D161","FAM221A","9","4",12
"A4D1E9","GTPBP10","3","0",3
"A4D1P6","WDR91","0","4",4
"A4D1S5","RAB19","1","2",3
"A4FU01","MTMR11","0","1",1
"A4QMS7","C5orf49","3","1",4
"A4QPB2",NA,"0","2",2
"A4UGR9","XIRP2","0","1",1
"A5A3E0","POTEF","0","1",1
"A5D8T8","CLEC18A","6","0",6
"A5D8V6","VPS37C","75","15",86
"A5D8V7","ODAD3","9","10",19
"A5LHX3","PSMB11","0","5",5
"A5PKW4","PSD","4","1",5
"A5PL33","KRBA1","1","0",1
"A5PLL7","PEDS1","0","2",2
"A5PLN7","FAM149A","0","1",1
"A5YKK6","CNOT1","6","1",6
"A5YM72","CARNS1","1","0",1
"A6BM72","MEGF11","0","3",3
"A6H8Z2","FAM221B","12","2",14
"A6NC98","CCDC88B","1","40",41
"A6NCL1","GMNC","0","1",1
"A6ND48","OR14I1","1","0",1
"A6NDB9","PALM3","0","1",1
"A6NDK9","GOLGA6C","0","1",1
"A6NDP7","MYADML2","11","0",11
"A6NE52","WDR97","1","0",1
"A6NE82","MBD3L3","1","0",1
"A6NEL2","SOWAHB","0","1",1
"A6NEM1","GOLGA6L9","0","213",213
"A6NEQ0","RBMY1E","2","0",2
"A6NER0","TBC1D3F","1","1",2
"A6NFR6",NA,"5","0",5
"A6NFY7","SDHAF1","2","0",2
"A6NGB9","WIPF3","0","1",1
"A6NGH7","CCDC160","0","1",1
"A6NGK3",NA,"0","1",1
"A6NGQ2","OOEP","0","9",9
"A6NGS2","ERICH4","0","2",2
"A6NH52","TVP23A","1","2",3
"A6NHJ4","ZNF860","2","0",2
"A6NHR9","SMCHD1","0","2",2
"A6NI15","MSGN1","26","1",27
"A6NI79","CCDC69","0","2",2
"A6NJ69","IGIP","0","1",1
"A6NJ78","METTL15","2","18",20
"A6NJB7","PRR19","8","1",8
"A6NJL1","ZSCAN5B","3","0",3
"A6NK53","ZNF233","0","1",1
"A6NK89","RASSF10","12","9",21
"A6NKB5","PCNX2","1","3",4
"A6NKD2","TSPY2","0","1",1
"A6NKF2","ARID3C","2","1",3
"A6NKK0","OR5H1","0","1",1
"A6NKT7","RGPD3","0","1",1
"A6NLU0","RFPL4A","1","0",1
"A6NLX3","SPDYE4","0","11",11
"A6NM10","AQP12B","0","3",3
"A6NM11","LRRC37A2","0","1",1
"A6NMX2","EIF4E1B","0","1",1
"A6NNF4","ZNF726","0","1",1
