"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0,0.87,78157,10901,0,0
0,0.13,53060,9760,0,0
0,0.08,120163,13795,0,0
0,0.74,56361,9225,0,0
0.05,0.28,55735,9683,0,0
0.04,0.02,68138,10473,0,0
0.04,0.11,122819,13491,0,0
0,0.29,121413,13752,0,0
0,0,58291,10012,0,0
0,0.92,114737,13322,0,0
0.39,0.88,134010,13988,0,0
0.4,0.32,60997,10027,0,0
0.14,0.98,99101,13031,0,0
0.1,0.01,51195,9236,0,0
0.22,0.49,54041,9488,0,0
0.01,0.7,48550,8948,0,0
0.21,0,106920,13175,0,0
0.43,0.95,119003,13730,0,0
0.17,0,56554,9568,0,0
0,0.91,56970,10052,0,0
0,0.03,109738,13418,0,0
0,0.22,98320,13159,0,0
0.03,0.25,66103,9825,0,0
0.04,0.02,100300,13194,0,0
0,0,99009,13148,0,0
0,0.09,105535,13314,0,0
0.54,0.94,67209,10382,0,0
0.01,0.01,53822,10126,0,0
0.06,0.74,52046,9649,0,0
0,0,62080,10455,0,0
0.08,0.41,70927,10228,0,0
0,0.82,115461,13725,0,0
0.12,0.3,104119,13573,0,0
0.44,0.19,64504,9729,0,0
0,0.65,107640,13653,0,0
0.32,0,101065,13537,0,0
0,0,113903,13370,0,0
0.05,0.76,111347,13443,0,0
0,0.69,112469,13361,0,0
0.04,0.44,65955,9953,0,0
0,0.52,72580,10085,0,0
0.01,0.76,38086,8453,0,0
0.02,0.57,129087,13841,0,0
0,0.82,56412,10039,0,0
0,0,119834,13257,0,0
0,0.16,104723,13160,0,0
0.02,0.56,113372,13380,0,0
0.02,0.85,114260,13679,0,0
0.01,0.16,45905,8773,0,0
0.07,0.04,53635,9815,0,0
0,0.28,107375,13262,0,0
0,0.8,120720,13471,0,0
0.15,0.06,60504,9687,0,0
0,0,43581,8686,0,0
0.27,0.32,103199,13484,0,0
0.76,0,96156,13115,0,0
0.07,0.18,54631,9142,0,0
0.3,0,108985,13573,0,0
0.68,0,42091,9148,0,0
0,0.01,104303,13512,0,0
0.36,0,113652,13146,0,0
0.02,0.05,65044,9897,0,0
0,0.05,114429,13229,0,0
0.11,0.1,112772,13211,0,0
0,0.52,120458,13826,0,0
0.34,0.18,111348,13341,0,0
0.26,0.95,117125,13562,0,0
0.01,0.69,73254,9809,0,0
0.25,0,61640,9686,0,0
0.82,0,107450,13145,0,0
0,0.37,121435,13774,0,0
0.35,0,60979,9739,0,0
0.01,0,47548,9884,0,0
0,0.54,59063,10123,0,0
0,0,110883,13490,0,0
0.14,0.85,97880,13288,0,0
0.7,0.05,47106,9044,0,0
0,0.43,112994,13860,0,0
0,0,120604,13417,0,0
0.12,0.4,114805,13062,0,0
0.19,0.01,117721,13411,0,0
0,0.65,114120,13373,0,0
0.02,0.44,109571,13480,0,0
0.31,0.58,113362,13669,0,0
0.09,0,109281,13198,0,0
0.18,0.02,60065,8988,0,0
0.05,0.01,52950,9926,0,0
0.05,0.15,46127,8854,0,0
0,0,110598,13395,0,0
0.02,0,48452,9284,0,0
0,0.48,117632,13387,0,0
0.01,0,114938,13694,0,0
0.04,0.05,112879,13309,0,0
0,0.99,54338,9400,0,0
0.23,0.25,123133,13609,0,0
0.02,0.4,65991,10266,0,0
0,0.84,123712,13832,0,0
0.46,0,103798,13493,0,0
0.29,0,107286,13511,0,0
0,0.22,55509,9942,0,0
0,0.72,116649,13801,0,0
0.34,0.05,118535,13846,0,0
0.25,0.22,53901,9562,0,0
0.13,0.68,117574,13709,0,0
0.05,0.31,64930,9885,0,0
0.01,0.07,67554,10025,0,0
0.09,0.1,104538,13277,0,0
0.01,0.14,56649,10128,0,0
0.37,0,63197,10309,0,0
0,0.03,58898,10268,0,0
0.4,0.88,108756,12947,0,0
0,0,93529,13170,0,0
0.29,0.01,60052,9821,0,0
0.33,0.13,124334,13776,0,0
0.06,0.72,60787,10290,0,0
0.4,0,116120,13296,0,0
0.34,0.78,109818,13607,0,0
0.53,0.58,57842,10347,0,0
0.02,0.06,106683,13364,0,0
0,0.85,63121,9432,0,0
0.06,0.02,51376,9215,0,0
0.36,0.22,50824,9917,0,0
0.18,0.03,112720,13602,0,0
0.47,0.08,124897,13440,0,0
0,0.57,114092,13223,0,0
0.12,0.8,97030,13000,0,0
0.01,0.96,110847,13673,0,0
0.01,0.57,108071,13299,0,0
0,0.52,107507,13500,0,0
0,0,69362,9939,0,0
0.34,0.09,64453,10509,0,0
0.27,0.12,121093,13571,0,0
0.35,0,72893,9982,0,0
0,0.79,54059,9396,0,0
