"pvalue","num_inter","n_proteins","xmin","alpha","ntail","pubmedIDs"
"0.18","62564","11148","36","2.96495992361085","728","10092678,10545207,11546873,11940657,12032305,12242293,12453419,12577067,14657022,14968112,15047060,15190072,15960975,16582099,16679322,17043677,17148452,17235358,17314511,17353931,17785442,18157088,18255255,18599441,18729074,18805092,19193609,19214193,19293945,19343720,19549727,19597476,19920073,20098423,20399188,20434986,20603015,20618440,20972456,21044950,21078624,21081503,21113135,21123453,21255825,21653829,22337587,22365833,22402981,22407294,22446626,22453275,22863883,22889411,23091066,23275563,23463506,23572552,24344204,24606901,24658140,24976009,24981860,25036637,25123934,25402006,25515538,25517094,25756610,25910212,25940091,26186194,26297806,26355680,26382858,26527279,26593974,26816005,27193682,27291054,27684187,27693506,28190768,28611094,28977666,29053956,29104064,29251827,29513927,29867216,29997244,31391242,31548606,31694235,7739537,9169421,9452425,9852078,unassigned1312,unassigned3273"
"0.67","70335","11286","55","2.71706923805948","403","10069390,11163245,11509230,11585930,11745344,12032298,12192000,12522145,12668731,14580349,14636569,14697242,14743216,15161933,15231747,15231748,15998806,16263121,16307923,16374509,16469706,16713569,16990800,17148452,17235358,17274640,17426036,17588522,17932509,18029035,18765789,18805092,19193609,19293945,19343720,19377461,19596235,19690564,19738201,20467437,20504901,20531386,20562864,20614026,20618440,20811636,20921139,20930030,20959446,21078624,21123453,21182203,21642987,21653829,21674799,22337587,22365833,22402981,22623428,22889411,23443559,23455922,23770852,24366813,24412244,24463511,24584437,24728074,25281560,25502805,25910212,25963833,26186194,26297806,26508657,26527279,26638075,26687479,26816005,27113764,27173435,27472814,27505670,27609421,27986371,28190768,28977666,29251827,29426014,29643511,29845934,29867216,30194290,31413325,31617661,32203420,7739537,8654373,8657117,9472029"
"0.64","104597","13512","78","3.26292930052353","345","10373544,10790433,10827173,10862698,11163245,11940657,12032298,12234937,12242293,12376572,12668731,14580349,14636569,14638676,14697242,15174051,15175163,16253997,16374509,16679322,16923123,16990800,17274640,17353931,17474147,17719543,17785442,18654987,18729074,18805092,19156129,19293945,19377461,19549727,19596235,19597476,19690564,19953087,20531386,20562864,20936779,21252943,21555454,21575865,21653829,21757351,21965653,22195966,22402981,22453919,22558309,22751105,22939624,23022380,23160376,23236378,23414517,23463506,23602568,23623729,24315095,24396066,24412244,24510904,24550280,24658140,24728074,25011449,25324306,25402006,25582440,25609649,25670202,25684205,25944111,25959826,26167880,26906416,27113764,27626385,27684187,28420882,28514442,28611094,29100370,29104064,29426014,29774127,29911972,30108113,31413325,31617661,31980649,33436498,34799561,35016035,9325248,9472029,unassigned3273,unassigned3314"
"0.07","51798","8752","21","2.28039292850433","1040","10085298,10862698,11279102,11359773,12234937,12376572,12453419,12614612,12615911,12665583,14532007,14636569,14968112,15102850,15174051,15231747,15324660,15989967,16307923,16325183,16541103,16730941,16893902,16923123,17141982,17403899,18000879,18599441,18729074,18850631,19167051,19293945,19447967,19615732,19622774,19692572,19766566,19953087,20308539,20431927,20618440,20808282,21113135,21145461,21177249,21255825,21314817,21525244,21555454,21757351,22195966,22337587,22365833,22407294,22441691,22889411,22990118,23022380,23084401,23455922,23455924,23572552,23602568,23623729,24315095,24463511,24510904,24811749,24835590,25011449,25260751,25502805,25582440,25752541,26638075,26686862,27432908,27705803,28215707,28420882,28515276,28611094,28883622,29021621,29511261,29513927,29568061,29845934,31391242,31413325,32203420,32761762,7739537,8652557,8657117,8895581,90000000,9452425,9751720,unassigned3314"
"0.63","117199","13066","60","3.03523780083142","658","10085298,10329441,10608806,10747088,10790433,10852826,11745344,12032298,12609980,12668731,14743216,14968112,15047060,15096576,15231748,15576338,15983046,16115810,16253997,16307923,16374509,16622419,17000644,17101133,17174955,17215244,17540176,17932509,18632619,18723680,19596235,19596686,19622774,20332121,20531386,20618440,20711169,20808282,21044950,21081503,21113135,21182203,21314817,21525244,21674799,21757351,21888893,21965653,22119785,22337587,22407294,22453919,22658674,22863883,22939624,23022380,23455922,23463506,23464991,23602572,24315095,24337577,24396066,24457600,24654937,24728074,24835590,24976009,25332235,25402006,25502805,25517094,25582440,25604459,25609649,25665578,25702638,25940091,26472760,26748699,27173435,28215707,28514442,28611094,28805820,28977666,29104064,29251827,29467281,29643511,31980649,32203420,32814053,8652557,8654373,8657117,9242638,9660939,9751720,unassigned3314"
"0.22","71905","11333","76","3.31797758012171","291","10085298,10545207,10747088,10827173,11585930,11940657,12411495,12453419,12724401,14523017,14697242,14968112,15047060,15324660,16159877,16374509,16582099,16679322,16923123,17353931,17361185,17426036,17540176,18157088,18330356,19156129,19369418,19470757,19596686,19738201,19920073,20016603,20186120,20195357,20399188,20431927,20504901,20508642,20618440,20711169,20930030,20959446,21182203,21555454,21575865,21653829,21888893,22453919,22889411,23084401,23160376,23201271,23444366,23464991,23572552,23954414,23986595,24255178,24344204,24366813,24412244,25123934,25260751,25402006,25502805,25684205,25940091,26167880,26186194,26344197,26514267,26527279,26593974,26638075,26686862,26841866,27152988,27193682,27291054,27545878,27565346,27626385,27637333,27684187,28977666,29104064,29656893,29997244,30021884,30833792,31694235,32960270,8652557,9169421,9417867,9472029,9660939,9687515,9751720,9852078"
"0","35453","7876","16","2.30277508648616","826","10069390,10329441,10882111,11163245,11279102,11564863,12453419,12577067,12609980,12676926,14532007,14580349,15174051,15231748,15383276,15983046,15998806,16325183,16484223,16622419,16679322,16923123,17000644,17043677,17178841,17235358,17255935,17289999,17540176,17719543,17785442,18029035,18157088,18255255,18729074,18850631,19369418,19447967,19622774,19920073,19995937,20195357,20308539,20508642,20614026,21145461,21252943,21382349,21642987,21757351,21888893,21988832,22195966,22558309,23084401,23658844,23956175,23975195,23986595,24189400,24315095,24344204,24457600,24550280,24711643,24947832,25260751,25502805,25517094,25702638,25900982,25940091,25963833,26355680,26508657,26593974,26655834,26687479,26816005,27086506,27113764,27193682,27432908,27637333,27684187,27880917,28515276,29100370,29467281,29507755,29511261,29911972,29985131,30194290,30833792,31694235,8641358,8654373,9325248,9472029"
"0.01","47066","10170","12","2.11070942675697","1528","10373544,11359773,11893732,12234937,12376551,12453419,14743216,15047060,15231747,15231748,15983046,15998806,16230350,16307923,16541103,16620772,16949367,17079684,17215244,17235358,17474147,17588522,17620599,17719543,18000879,18330356,18632619,18654987,19293945,19377461,19596235,19596686,19597476,19622774,20016603,20186120,20431927,20434986,20467437,20504901,20508642,20614026,20711169,20921139,20972456,21081503,21123453,21182203,21382349,21555454,21653829,22337587,22441691,22453275,22558309,22889411,23160376,23275563,23414517,23443559,23455922,23464991,23602568,23770852,23954414,24189400,24337577,24344204,24366813,24396066,24412244,24711643,25702638,25756610,25910212,26514267,26527279,26593974,26638075,26748699,27152988,27193682,27229929,27505670,27563068,27705803,28533407,29100370,29251827,29513927,29568061,29867216,30021884,32761762,7739537,8895581,9660939,9687515,9751720,unassigned3273"
"0.05","45739","8946","30","2.63588685256253","657","10092678,10545207,10790433,10862698,11163245,11279102,11546873,11585930,12192000,12615911,14580349,14697242,15102850,15190072,15231747,15231748,15324660,15488952,15989967,16115810,16263121,16374509,16469706,16510448,16622419,16713569,16893902,16949367,17000644,17101133,17174955,17255935,17274640,17361185,17588522,17620599,17716973,17785442,18255255,18654987,18723680,19172752,19193609,19343720,19447967,19470757,19690564,20080579,20332121,20531386,20603015,20811636,20921139,21078624,21081503,21145461,21255825,21382349,21525244,21988832,22402981,22407294,22446626,22889411,22939624,22939629,23091066,23236378,23455924,23602572,24337577,24412244,24457600,24463511,24882805,25027693,25281560,25502805,25515538,25604459,25670202,25900982,25963833,26297806,26382858,26389662,27229929,27505670,27563068,27693506,27986371,28190768,28533407,31548606,31694235,32761762,90000000,9169421,9242638,unassigned1312"
"0","114812","13570","21","2.63167416187139","3195","10092678,10329441,10545207,10608806,10790433,11546873,11585930,11893732,11940657,12032305,12376572,12668731,14638676,15174051,15324660,15383276,15488952,15616580,15983046,15989967,15998806,16679322,16730941,16893902,16990800,17000644,17148452,17178841,17274640,17719543,18157088,19380743,19470757,19738201,20080579,20195357,20368287,20434986,20603015,20921139,21177249,21182203,21252943,21382349,21653829,21965653,21988832,22119785,22407294,22453275,22623428,22751105,22990118,23201271,23443559,23975195,24315095,24344204,24654937,24976009,24981860,25011449,25123934,25324306,25332235,25684205,25756610,25910212,25959826,25963833,26186194,26355680,26389662,26472760,26748699,27291054,27505670,27545878,27563068,27880917,27986371,28514442,28515276,28611094,28883622,29104064,29774127,29845934,29997244,30194290,30833792,31391242,31413325,32814053,32960270,8641358,9169421,9472029,9687515,unassigned3314"
"0","46784","10573","12","2.32830154576642","1587","10092678,10220385,10747088,11546873,11564863,12032305,12609980,12615911,14580349,14657022,14697242,15096576,15488952,15576338,16115810,16253997,16263121,16510448,16620772,16990800,17043677,17148452,17403899,17474147,17716973,17785442,18765789,19214193,19293945,19369418,19377461,19596235,19596686,19738201,19995937,20195357,20434986,20467437,20504901,20508642,20531386,21081503,21113135,21145461,21314817,21555454,21575865,21674799,21988832,22119785,22365833,22402981,22466964,22889411,23201271,23292512,23349634,23463506,23602568,23623729,23752268,23770852,23986595,24189400,24396066,24584437,24654937,24835590,24981860,25011449,25582440,25752541,25756610,25910212,26297806,26355680,26472760,26748699,27107012,27565346,27693506,29053956,29100370,29507755,29513927,29568061,29636472,29845934,30021884,30194290,31413325,34316702,35016035,8654373,9115257,9242638,9417867,9472029,9624153,9687515"
"0.67","81209","11517","56","2.86967376351666","533","10092678,10220385,10329441,10747088,10790433,11509230,11564863,11585930,11893732,12032305,12242293,12577067,12665583,12676926,12724401,14532007,14636569,15047060,15096576,15174051,15190072,15207703,15561718,15576338,15983046,16115810,16159877,16253997,16263121,16307923,16374509,16582099,16713569,16964240,17255935,17461779,17474147,17620599,17719543,18029035,18255255,18654987,19377461,19597476,19615732,19622774,19995937,20016603,20186120,20467437,20504901,20603019,20972456,21113135,21123453,21252943,21555454,22658674,22939629,23160376,23602572,24344204,24457600,25260751,25402006,25582440,25609649,25670202,25940091,26186194,26389662,26816005,26841866,26972000,27107012,27113764,27193682,27291054,27637333,27684187,27705803,27880917,28215707,29053956,29100370,29104064,29128334,29426014,29774127,29911972,30833792,31694235,33436498,34316702,8895581,9169421,9325248,9452425,unassigned3273,unassigned3314"
"0.1","35253","7258","23","2.2639007183913","565","10085298,10747088,10790433,10827173,11359773,12234937,12376551,12609980,12676926,14638676,14697242,15084259,15190072,15576338,15983046,16374509,16484223,16510448,16582099,17000644,17141982,17148452,17174955,17274640,17361185,17403899,18330356,19156129,19168127,19343720,19596235,19622774,19766566,19953087,20085707,20098423,20434986,20508642,20531386,20562864,20808282,20811636,20959446,21314817,21525244,21555454,21575865,22094255,22337587,22407294,22441691,22446626,22453919,22466964,22889411,22939624,23349634,23455922,23464991,23572552,23602568,23752268,23975195,23986595,24658140,24728074,24811749,24976009,25027693,25281560,25515538,25517094,25670202,25684205,25940091,26297806,26472760,26527279,26593974,26638075,26687479,26972000,27086506,27173435,27505670,27545878,27705803,28628118,29251827,29426014,29656893,29845934,29985131,30824926,31391242,32203420,34316702,9624153,9660939,unassigned1312"
"0.41","63307","9446","40","2.68185688265088","673","10085298,10608806,11509230,11546873,11893732,11940657,12242293,12609980,14532007,14636569,14638676,14743216,15047060,15096576,15174051,15175163,15488952,15998806,16115810,16253997,16582099,16713569,16893902,16949367,16990800,17043677,17148452,17274640,17540176,17588522,17716973,17785442,18000879,18029035,18157088,18729074,18850631,19167051,19549727,19615732,19766566,19953087,20332121,20399188,21044950,21123453,21182203,21965653,22094255,22365833,22407294,22446626,22863883,23091066,23160376,23236378,23292512,23464991,23752268,23975195,23986595,24189400,24315095,24366813,24396066,24412244,24457600,24584437,24811749,24981860,25036637,25702638,26297806,26389662,26638075,26906416,27086506,27153538,27229929,27291054,27545878,27693506,28420882,28611094,29021621,29100370,29128334,29467281,29507755,29513927,29643511,29845934,31694235,31980649,32761762,32814053,32960270,34799561,8657117,unassigned1312"
