"pubmedID","num_inter","n_proteins"
"12081471","2","2"
"16189514","6479","3045"
"25416956","13797","4269"
"10910772","1","2"
"9362513","1","2"
"12052877","5","5"
"9334256","1","2"
"16713569","5086","2699"
"9079677","1","2"
"16273093","160","90"
"12975581","1","2"
"12061724","1","2"
"17875712","5","6"
"9774445","1","2"
"10839362","3","3"
"1334406","6","7"
"16729043","33","20"
"14660651","2","3"
"25081058","3","4"
"15231748","875","617"
"28514442","58024","11013"
"12118253","3","4"
"28628118","767","79"
"14576349","4","4"
"11003669","1","2"
"24189400","496","272"
"25640309","602","196"
"11825873","4","4"
"8632892","1","2"
"12434309","1","2"
"11687512","1","2"
"11598901","1","2"
"11278603","1","2"
"12007404","6","7"
"11238932","4","5"
"22354967","2","2"
"18611861","4","5"
"16314515","4","4"
"11387330","4","5"
"12657635","2","3"
"17973255","3","4"
"7539755","9","10"
"9200440","1","2"
"11133830","7","8"
"11331248","4","4"
"12881521","1","2"
"16356860","2","3"
"18835194","10","7"
"19635790","5","5"
"16289966","5","6"
"9891995","3","4"
"16467851","5","6"
"7768923","1","2"
"11328862","3","3"
"10673353","3","3"
"9013873","4","4"
"8900182","7","8"
"12376551","14","11"
"8554611","1","2"
"9201297","3","4"
"12145287","2","3"
"15597342","5","5"
"8986718","1","2"
"11262396","5","5"
"12084069","6","7"
"10725744","1","2"
"7651724","1","2"
"8051112","1","2"
"7862126","1","2"
"10662792","1","2"
"10867021","3","4"
"8649418","1","2"
"10780782","1","2"
"15882624","5","4"
"9341187","3","5"
"9047237","5","7"
"8703037","1","2"
"10347175","1","2"
"8673706","1","2"
"21725281","5","6"
"8622875","2","3"
"11390470","7","8"
"17306257","11","7"
"15345594","8","8"
"20439986","4","5"
"10207103","4","5"
"11368773","7","8"
"12186560","6","7"
"10664460","2","3"
"10022833","18","15"
"10747851","1","2"
"1375396","1","2"
"15618286","4","4"
"11857085","1","2"
"9399639","4","6"
"9697839","5","6"
"11606575","3","4"
"10748082","1","2"
"12393632","2","3"
"9794236","1","1"
"10858437","5","6"
"7521304","3","4"
"1715582","6","5"
"12138090","6","7"
"16741966","2","3"
"8918464","7","8"
"7537495","3","4"
"11127814","3","4"
"12846735","4","5"
"12668668","2","3"
"11950934","1","2"
"9892651","4","5"
"10339567","7","7"
"12538589","6","7"
"19940238","7","8"
"11278422","4","5"
"10636882","1","2"
"7933095","6","7"
"7862168","3","4"
"10562553","4","5"
"8413269","2","3"
"8621542","2","3"
"11825898","2","3"
"9837938","5","6"
"2155506","1","2"
"14743216","1659","532"
"12748184","3","5"
"10377264","4","3"
"9799234","2","2"
"9949175","2","2"
"9341198","1","2"
"11825908","6","5"
"24728074","201","73"
"7509796","1","2"
"11071635","22","16"
"1382595","1","2"
"7537096","3","4"
"17452978","4","4"
"9233773","6","7"
"25241761","563","371"
"7536744","2","3"
"7523381","3","3"
"9528781","2","3"
"12444928","4","5"
"15009185","4","4"
"12356905","1","2"
"17891137","4","5"
"24912773","1","2"
"7684496","1","2"
"12614164","5","6"
"7539802","1","2"
