"pubmedID","num_inter","n_proteins","methods"
"10542231","8","6","peptide array"
"11135358","1","2","fluorescent resonance energy transfer,two hybrid"
"9182572","1","1","cross linking study"
"10649446","1","2","two hybrid"
"10654935","1","2","coimmunoprecipitation,two hybrid"
"10499589","1","2","coimmunoprecipitation,pull down"
"10970852","1","2","coimmunoprecipitation,imaging technique,pull down"
"9148966","1","2","enzyme linked immunosorbent assay,pull down"
"9422736","1","2","pull down"
"10767429","4","5","filter binding"
"10967104","1","2","coimmunoprecipitation,phage display,pull down"
"10436013","2","4","cross linking study"
"10970843","1","2","coimmunoprecipitation"
"9491887","1","2","coimmunoprecipitation"
"7809103","1","2","pull down"
"8955125","1","2","two hybrid"
"10373504","2","3","pull down,two hybrid"
"11001931","1","2","coimmunoprecipitation,pull down,two hybrid"
"11118213","3","4","beta lactamase complementation,coimmunoprecipitation,filter binding,imaging technique,pull down"
"11163799","1","2","pull down"
"10446149","1","2","coimmunoprecipitation,two hybrid"
"11163768","2","3","coimmunoprecipitation"
"8052633","1","2","coimmunoprecipitation,two hybrid"
"9452471","2","3","coimmunoprecipitation,imaging technique"
"9581554","2","3","coimmunoprecipitation"
"10064583","1","2","anti bait coimmunoprecipitation"
"9303539","2","3","pull down"
"10449734","1","2","coimmunoprecipitation,two hybrid"
"9535825","1","2","coimmunoprecipitation,pull down,two hybrid"
"9437013","4","4","coimmunoprecipitation,two hybrid"
"10446169","2","3","two hybrid"
"10748169","1","2","coimmunoprecipitation,filter binding"
"11076969","2","3","fluorescence microscopy,pull down,two hybrid"
"9660940","1","2","pull down,two hybrid"
"9857202","2","3","coimmunoprecipitation,pull down"
"10995736","1","2","coimmunoprecipitation,two hybrid"
"10366599","1","2","fluorescence microscopy,pull down,two hybrid"
"10092585","1","2","coimmunoprecipitation,pull down,two hybrid"
"10827081","1","2","coimmunoprecipitation,two hybrid"
"10878014","1","2","pull down,two hybrid"
"11244506","1","2","coimmunoprecipitation,pull down"
"11163362","1","2","pull down,two hybrid"
"11240126","1","2","coimmunoprecipitation,pull down,two hybrid"
"10906324","5","5","coimmunoprecipitation,two hybrid"
"10393239","1","1","pull down"
"11266449","1","2","coimmunoprecipitation,pull down"
"10737771","1","2","coimmunoprecipitation"
"11259428","1","2","coimmunoprecipitation"
"9356463","1","2","pull down,two hybrid"
"9395493","1","2","coimmunoprecipitation"
"10359772","1","2","coimmunoprecipitation"
"7935836","2","3","filter binding"
"8288605","1","1","two hybrid"
"11231015","1","1","x ray crystallography"
"11292345","2","3","phage display,pull down"
"8384581","1","2","coimmunoprecipitation,pull down,two hybrid"
"11137014","1","2","pull down,two hybrid"
"11377421","2","3","two hybrid"
"11257230","2","2","x ray crystallography"
"11257232","2","2","x ray crystallography"
"11287000","1","2","experimental interaction detection"
"9525868","2","3","pull down"
"10823891","5","4","pull down"
"11331584","1","2","pull down,two hybrid"
"10929712","2","3","coimmunoprecipitation"
"11389892","1","2","coimmunoprecipitation"
"11389904","2","3","pull down,two hybrid"
"11389899","1","2","coimmunoprecipitation,pull down"
"11389905","5","5","coimmunoprecipitation"
"10094049","6","6","coimmunoprecipitation"
"11279064","2","3","pull down"
"11313964","1","2","two hybrid"
"11423118","1","1","enzyme linked immunosorbent assay,x ray crystallography"
"10364196","1","2","coimmunoprecipitation,two hybrid"
"9417052","1","1","two hybrid"
"9390557","1","2","coimmunoprecipitation,pull down,x ray crystallography"
"7516469","4","4","pull down"
"10910768","1","2","coimmunoprecipitation,pull down,two hybrid"
"11483497","1","2","two hybrid"
"8242750","3","4","two hybrid"
"9323129","4","5","coimmunoprecipitation"
"11509230","2","3","coimmunoprecipitation,pull down"
"8670859","3","3","two hybrid"
"11230124","1","2","experimental interaction detection"
"10329646","2","3","coimmunoprecipitation"
"10725331","2","3","coimmunoprecipitation,pull down"
"11353857","1","2","coimmunoprecipitation,two hybrid"
